# wavelength flux(cal) flux
3761.7249 2.973577e+03 8.541922e+03
3762.9518 3.097841e+03 8.828094e+03
3764.1787 3.340445e+03 9.444000e+03
3765.4056 3.314571e+03 9.296840e+03
3766.6325 3.450071e+03 9.600746e+03
3767.8594 3.553801e+03 9.811867e+03
3769.0863 3.556930e+03 9.743797e+03
3770.3132 3.539881e+03 9.621637e+03
3771.5401 3.360646e+03 9.063656e+03
3772.7670 3.324625e+03 8.897273e+03
3773.9940 3.264079e+03 8.668055e+03
3775.2209 3.160502e+03 8.328699e+03
3776.4478 3.526148e+03 9.221363e+03
3777.6747 4.055297e+03 1.052457e+04
3778.9016 3.879885e+03 9.993121e+03
3780.1285 3.814948e+03 9.751812e+03
3781.3554 3.831638e+03 9.720965e+03
3782.5823 3.677742e+03 9.260793e+03
3783.8092 3.668884e+03 9.169738e+03
3785.0361 3.537932e+03 8.776930e+03
3786.2630 3.801992e+03 9.362430e+03
3787.4900 3.607417e+03 8.818043e+03
3788.7169 3.464652e+03 8.407137e+03
3789.9438 3.594389e+03 8.658461e+03
3791.1707 3.817161e+03 9.128465e+03
3792.3976 3.791311e+03 9.001250e+03
3793.6245 3.625697e+03 8.546250e+03
3794.8514 3.940161e+03 9.221113e+03
3796.0783 3.998884e+03 9.291980e+03
3797.3052 3.523013e+03 8.128279e+03
3798.5321 3.689161e+03 8.451656e+03
3799.7591 3.606971e+03 8.205434e+03
3800.9860 3.743233e+03 8.456008e+03
3802.2129 4.034924e+03 9.051668e+03
3803.4398 3.808048e+03 8.483703e+03
3804.6667 4.079730e+03 9.026500e+03
3805.8936 4.015260e+03 8.823113e+03
3807.1205 4.096181e+03 8.939695e+03
3808.3474 4.143388e+03 8.981523e+03
3809.5743 4.189095e+03 9.019465e+03
3810.8012 4.535936e+03 9.700832e+03
3812.0281 4.414933e+03 9.379145e+03
3813.2551 4.344471e+03 9.168295e+03
3814.4820 4.381312e+03 9.185100e+03
3815.7089 4.324784e+03 9.007160e+03
3816.9358 4.401414e+03 9.106992e+03
3818.1627 4.390987e+03 9.026512e+03
3819.3896 4.331309e+03 8.846422e+03
3820.6165 4.422904e+03 8.975578e+03
3821.8434 4.496211e+03 9.066172e+03
3823.0703 4.732384e+03 9.481898e+03
3824.2972 4.618287e+03 9.194967e+03
3825.5242 4.784153e+03 9.465512e+03
3826.7511 4.771288e+03 9.381242e+03
3827.9780 4.642398e+03 9.071285e+03
3829.2049 4.647616e+03 9.025562e+03
3830.4318 4.650587e+03 8.976055e+03
3831.6587 4.571150e+03 8.769057e+03
3832.8856 4.725663e+03 9.010645e+03
3834.1125 4.566020e+03 8.653916e+03
3835.3394 5.034135e+03 9.484133e+03
3836.5663 4.679123e+03 8.762967e+03
3837.7932 5.103562e+03 9.501457e+03
3839.0202 4.862619e+03 8.999809e+03
3840.2471 4.503705e+03 8.286963e+03
3841.4740 4.999808e+03 9.146551e+03
3842.7009 4.828199e+03 8.781809e+03
3843.9278 4.728747e+03 8.551766e+03
3845.1547 4.618630e+03 8.305199e+03
3846.3816 4.786879e+03 8.559191e+03
3847.6085 5.070558e+03 9.015621e+03
3848.8354 5.048630e+03 8.926668e+03
3850.0623 5.355277e+03 9.416508e+03
3851.2893 6.056559e+03 1.059113e+04
3852.5162 6.777364e+03 1.178696e+04
3853.7431 7.521637e+03 1.301050e+04
3854.9700 8.204052e+03 1.411456e+04
3856.1969 8.428219e+03 1.442275e+04
3857.4238 8.558597e+03 1.456815e+04
3858.6507 8.502889e+03 1.439708e+04
3859.8776 8.165158e+03 1.375291e+04
3861.1045 7.309768e+03 1.224819e+04
3862.3314 6.191859e+03 1.032154e+04
3863.5583 5.313126e+03 8.811387e+03
3864.7853 4.943855e+03 8.157312e+03
3866.0122 4.991265e+03 8.193988e+03
3867.2391 4.988468e+03 8.148387e+03
3868.4660 4.978014e+03 8.090891e+03
3869.6929 4.867643e+03 7.872471e+03
3870.9198 4.842621e+03 7.793654e+03
3872.1467 5.173655e+03 8.285955e+03
3873.3736 4.819695e+03 7.681842e+03
3874.6005 4.862781e+03 7.713426e+03
3875.8274 4.594755e+03 7.253674e+03
3877.0544 5.207227e+03 8.181844e+03
3878.2813 5.111199e+03 7.993422e+03
3879.5082 4.707054e+03 7.327240e+03
3880.7351 5.079633e+03 7.870840e+03
3881.9620 5.100170e+03 7.866596e+03
3883.1889 4.907541e+03 7.535215e+03
3884.4158 4.894453e+03 7.481375e+03
3885.6427 4.983327e+03 7.583301e+03
3886.8696 4.786883e+03 7.252191e+03
3888.0965 5.183827e+03 7.819168e+03
3889.3234 5.204886e+03 7.816832e+03
3890.5504 4.972862e+03 7.436205e+03
3891.7773 5.040569e+03 7.505262e+03
3893.0042 5.064859e+03 7.509496e+03
3894.2311 5.171675e+03 7.635680e+03
3895.4580 5.086167e+03 7.478180e+03
3896.6849 4.944895e+03 7.240473e+03
3897.9118 5.103316e+03 7.441883e+03
3899.1387 5.191097e+03 7.539205e+03
3900.3656 5.476132e+03 7.921223e+03
3901.5925 5.350061e+03 7.708051e+03
3902.8195 5.279188e+03 7.575932e+03
3904.0464 5.317639e+03 7.601277e+03
3905.2733 5.038894e+03 7.174924e+03
3906.5002 5.241420e+03 7.434658e+03
3907.7271 5.122181e+03 7.237896e+03
3908.9540 5.370375e+03 7.560021e+03
3910.1809 5.575057e+03 7.818871e+03
3911.4078 5.110568e+03 7.140945e+03
3912.6347 5.463055e+03 7.605525e+03
3913.8616 5.152870e+03 7.147684e+03
3915.0886 5.321307e+03 7.354824e+03
3916.3155 5.320239e+03 7.327203e+03
3917.5424 5.447128e+03 7.475547e+03
3918.7693 5.230294e+03 7.152947e+03
3919.9962 5.203399e+03 7.091607e+03
3921.2231 5.398354e+03 7.332172e+03
3922.4500 5.421179e+03 7.338273e+03
3923.6769 5.576878e+03 7.523764e+03
3924.9038 5.446424e+03 7.323426e+03
3926.1307 5.501835e+03 7.373680e+03
3927.3576 5.661367e+03 7.562871e+03
3928.5846 5.907175e+03 7.865908e+03
3929.8115 5.947466e+03 7.894404e+03
3931.0384 5.861735e+03 7.756160e+03
3932.2653 5.575612e+03 7.354634e+03
3933.4922 5.673822e+03 7.461168e+03
3934.7191 5.734885e+03 7.518533e+03
3935.9460 5.609194e+03 7.331633e+03
3937.1729 5.662901e+03 7.379818e+03
3938.3998 5.615103e+03 7.296009e+03
3939.6267 5.669636e+03 7.345447e+03
3940.8537 5.586503e+03 7.216938e+03
3942.0806 5.692306e+03 7.332723e+03
3943.3075 5.383893e+03 6.915951e+03
3944.5344 5.551245e+03 7.111131e+03
