# wavelength flux(cal) flux
5241.0935 4.582386e+02 5.110771e+02
5242.2901 4.638415e+02 5.173391e+02
5243.4866 3.534887e+02 3.942788e+02
5244.6832 4.069497e+02 4.539436e+02
5245.8798 3.651443e+02 4.073521e+02
5247.0763 4.051546e+02 4.520442e+02
5248.2729 4.664814e+02 5.205469e+02
5249.4695 4.503861e+02 5.026736e+02
5250.6661 4.067110e+02 4.540176e+02
5251.8626 4.389442e+02 4.901079e+02
5253.0592 3.907864e+02 4.364426e+02
5254.2558 3.621583e+02 4.045769e+02
5255.4523 3.721671e+02 4.158770e+02
5256.6489 3.762480e+02 4.205664e+02
5257.8455 4.381357e+02 4.899045e+02
5259.0421 4.471979e+02 5.002117e+02
5260.2386 4.126939e+02 4.617874e+02
5261.4352 3.556523e+02 3.981145e+02
5262.6318 3.676492e+02 4.117112e+02
5263.8283 3.486446e+02 3.905952e+02
5265.0249 4.648377e+02 5.210005e+02
5266.2215 4.887307e+02 5.480334e+02
5267.4181 3.539400e+02 3.970776e+02
5268.6146 3.366025e+02 3.778147e+02
5269.8112 4.512201e+02 5.067258e+02
5271.0078 4.517733e+02 5.076162e+02
5272.2043 3.609626e+02 4.058022e+02
5273.4009 3.810938e+02 4.286750e+02
5274.5975 4.189546e+02 4.715352e+02
5275.7941 4.937547e+02 5.560525e+02
5276.9906 4.821010e+02 5.432583e+02
5278.1872 4.305480e+02 4.854673e+02
5279.3838 3.872383e+02 4.369109e+02
5280.5803 4.153396e+02 4.689214e+02
5281.7769 4.490170e+02 5.072795e+02
5282.9735 3.906866e+02 4.416790e+02
5284.1700 4.327904e+02 4.896152e+02
5285.3666 4.864502e+02 5.507065e+02
5286.5632 4.918759e+02 5.572463e+02
5287.7598 5.128862e+02 5.814705e+02
5288.9563 3.602784e+02 4.087566e+02
5290.1529 4.379821e+02 4.972876e+02
5291.3495 4.771660e+02 5.421885e+02
5292.5460 4.388943e+02 4.990854e+02
5293.7426 4.919154e+02 5.598142e+02
5294.9392 4.461310e+02 5.081113e+02
5296.1358 3.659428e+02 4.171160e+02
5297.3323 3.715696e+02 4.238723e+02
5298.5289 4.222135e+02 4.820391e+02
5299.7255 4.877314e+02 5.573010e+02
5300.9220 4.840206e+02 5.535232e+02
5302.1186 4.818076e+02 5.514575e+02
5303.3152 4.819431e+02 5.520828e+02
5304.5118 4.561146e+02 5.229446e+02
5305.7083 4.715855e+02 5.411514e+02
5306.9049 4.868956e+02 5.592087e+02
5308.1015 4.387378e+02 5.043430e+02
5309.2980 4.427795e+02 5.094414e+02
5310.4946 4.948463e+02 5.698567e+02
5311.6912 5.510645e+02 6.351687e+02
5312.8877 4.911892e+02 5.666689e+02
5314.0843 4.278912e+02 4.940950e+02
5315.2809 5.013728e+02 5.794778e+02
5316.4775 5.349346e+02 6.188394e+02
5317.6740 4.500553e+02 5.211306e+02
5318.8706 3.574111e+02 4.142422e+02
5320.0672 3.379694e+02 3.920769e+02
5321.2637 3.783974e+02 4.393914e+02
5322.4603 4.371982e+02 5.081514e+02
5323.6569 4.090545e+02 4.758926e+02
5324.8535 4.791985e+02 5.580305e+02
5326.0500 4.338835e+02 5.057454e+02
5327.2466 4.690571e+02 5.472708e+02
5328.4432 5.224951e+02 6.102080e+02
5329.6397 4.905680e+02 5.734761e+02
5330.8363 4.852999e+02 5.678687e+02
5332.0329 5.201297e+02 6.092170e+02
5333.2295 5.090553e+02 5.968279e+02
5334.4260 4.071163e+02 4.777793e+02
5335.6226 4.204517e+02 4.939131e+02
5336.8192 4.874104e+02 5.731333e+02
5338.0157 4.499841e+02 5.296453e+02
5339.2123 4.641819e+02 5.468948e+02
5340.4089 5.400283e+02 6.368840e+02
5341.6055 4.420330e+02 5.218279e+02
5342.8020 5.100309e+02 6.026958e+02
5343.9986 5.284701e+02 6.251030e+02
5345.1952 5.198925e+02 6.155657e+02
5346.3917 4.972809e+02 5.893762e+02
5347.5883 4.740044e+02 5.623455e+02
5348.7849 4.891210e+02 5.808542e+02
5349.9814 4.667736e+02 5.548647e+02
5351.1780 5.366888e+02 6.386064e+02
5352.3746 5.482904e+02 6.530571e+02
5353.5712 4.923093e+02 5.869595e+02
5354.7677 4.800236e+02 5.728777e+02
5355.9643 4.643802e+02 5.547559e+02
5357.1609 4.976286e+02 5.950618e+02
5358.3574 4.303076e+02 5.150669e+02
5359.5540 4.102752e+02 4.915723e+02
5360.7506 5.258363e+02 6.306516e+02
5361.9472 5.659412e+02 6.794170e+02
5363.1437 4.423218e+02 5.315315e+02
5364.3403 4.472990e+02 5.380383e+02
5365.5369 5.284902e+02 6.363208e+02
5366.7334 5.148265e+02 6.204731e+02
5367.9300 5.152833e+02 6.216274e+02
5369.1266 5.517353e+02 6.662480e+02
5370.3232 5.174064e+02 6.253987e+02
5371.5197 4.966161e+02 6.008484e+02
5372.7163 5.021282e+02 6.081021e+02
5373.9129 4.324422e+02 5.242114e+02
5375.1094 5.198675e+02 6.307922e+02
5376.3060 6.165877e+02 7.488633e+02
5377.5026 5.201077e+02 6.322861e+02
5378.6991 5.272597e+02 6.415879e+02
5379.8957 5.426385e+02 6.609248e+02
5381.0923 5.459653e+02 6.656023e+02
5382.2889 5.618811e+02 6.856477e+02
5383.4854 5.176893e+02 6.323115e+02
5384.6820 5.025016e+02 6.143318e+02
5385.8786 5.421459e+02 6.634126e+02
5387.0751 5.407833e+02 6.623555e+02
5388.2717 5.441845e+02 6.671333e+02
5389.4683 5.806577e+02 7.124976e+02
5390.6649 5.702128e+02 7.003179e+02
5391.8614 6.021711e+02 7.402378e+02
5393.0580 6.329842e+02 7.788171e+02
5394.2546 5.901512e+02 7.267671e+02
5395.4511 4.574921e+02 5.639011e+02
5396.6477 3.904847e+02 4.817356e+02
5397.8443 4.350775e+02 5.372231e+02
5399.0409 4.333014e+02 5.355000e+02
5400.2374 5.368039e+02 6.639941e+02
5401.4340 4.879220e+02 6.040544e+02
5402.6306 5.122034e+02 6.346628e+02
5403.8271 5.082366e+02 6.302883e+02
5405.0237 6.263499e+02 7.774292e+02
5406.2203 5.758250e+02 7.153237e+02
5407.4169 4.945708e+02 6.149031e+02
5408.6134 4.848611e+02 6.033359e+02
5409.8100 5.061270e+02 6.303225e+02
5411.0066 5.067485e+02 6.316184e+02
5412.2031 5.690036e+02 7.097966e+02
5413.3997 5.801526e+02 7.242949e+02
5414.5963 4.861204e+02 6.073916e+02
5415.7928 4.415027e+02 5.520872e+02
5416.9894 5.229180e+02 6.544172e+02
5418.1860 5.578438e+02 6.986797e+02
5419.3826 5.895587e+02 7.389829e+02
5420.5791 5.204756e+02 6.529006e+02
5421.7757 5.878776e+02 7.380237e+02
5422.9723 6.085668e+02 7.645850e+02
5424.1688 5.774767e+02 7.260784e+02
5425.3654 5.522650e+02 6.949050e+02
5426.5620 4.624423e+02 5.823201e+02
5427.7586 5.690832e+02 7.171394e+02
5428.9551 5.509841e+02 6.948447e+02
5430.1517 5.282536e+02 6.666677e+02
5431.3483 5.531710e+02 6.986213e+02
5432.5448 5.060332e+02 6.395496e+02
5433.7414 4.352392e+02 5.504695e+02
5434.9380 5.001263e+02 6.329832e+02
5436.1346 5.713140e+02 7.235889e+02
5437.3311 5.337070e+02 6.764280e+02
5438.5277 5.405112e+02 6.855234e+02
5439.7243 5.899020e+02 7.486753e+02
5440.9208 5.316137e+02 6.751543e+02
5442.1174 5.461282e+02 6.940518e+02
5443.3140 5.207706e+02 6.622642e+02
5444.5105 4.842643e+02 6.162429e+02
5445.7071 5.827381e+02 7.420356e+02
5446.9037 6.173015e+02 7.865522e+02
5448.1003 5.878036e+02 7.494429e+02
5449.2968 5.299038e+02 6.760464e+02
5450.4934 4.346088e+02 5.548149e+02
5451.6900 5.558883e+02 7.100754e+02
5452.8865 4.894749e+02 6.256216e+02
5454.0831 5.136805e+02 6.569553e+02
5455.2797 4.915421e+02 6.290164e+02
5456.4763 5.319282e+02 6.810984e+02
5457.6728 6.383471e+02 8.178362e+02
5458.8694 7.141007e+02 9.154160e+02
5460.0660 5.626467e+02 7.216748e+02
5461.2625 5.295753e+02 6.796372e+02
5462.4591 5.553206e+02 7.130730e+02
5463.6557 5.158142e+02 6.627065e+02
5464.8523 5.134007e+02 6.599624e+02
5466.0488 5.566777e+02 7.159758e+02
5467.2454 5.901620e+02 7.594419e+02
5468.4420 6.102740e+02 7.857312e+02
5469.6385 4.745981e+02 6.113613e+02
5470.8351 4.735816e+02 6.103608e+02
5472.0317 5.619714e+02 7.246409e+02
5473.2283 5.490026e+02 7.082668e+02
5474.4248 5.785496e+02 7.467478e+02
5475.6214 5.978711e+02 7.720559e+02
5476.8180 5.487939e+02 7.090149e+02
5478.0145 5.552414e+02 7.176782e+02
5479.2111 5.169774e+02 6.685261e+02
5480.4077 5.572506e+02 7.209302e+02
5481.6042 5.605029e+02 7.254600e+02
5482.8008 5.494205e+02 7.114270e+02
5483.9974 5.876467e+02 7.612524e+02
5485.1940 6.154639e+02 7.976252e+02
5486.3905 5.729706e+02 7.428645e+02
5487.5871 6.080087e+02 7.886150e+02
5488.7837 6.046285e+02 7.845469e+02
5489.9802 5.428519e+02 7.046665e+02
5491.1768 5.582996e+02 7.250010e+02
5492.3734 6.218870e+02 8.078838e+02
5493.5700 6.091390e+02 7.916204e+02
5494.7665 6.120320e+02 7.956733e+02
5495.9631 6.174181e+02 8.029663e+02
5497.1597 5.485228e+02 7.136199e+02
5498.3562 5.294626e+02 6.890630e+02
5499.5528 6.102079e+02 7.944194e+02
5500.7494 5.406384e+02 7.040840e+02
5501.9460 6.152228e+02 8.014797e+02
5503.1425 6.097887e+02 7.946560e+02
5504.3391 6.529260e+02 8.511392e+02
5505.5357 6.789215e+02 8.852991e+02
5506.7322 6.644583e+02 8.667007e+02
5507.9288 6.234299e+02 8.134243e+02
5509.1254 6.658235e+02 8.689883e+02
5510.3219 5.443220e+02 7.106128e+02
5511.5185 5.998680e+02 7.833438e+02
5512.7151 5.766563e+02 7.532349e+02
5513.9117 5.748104e+02 7.510205e+02
5515.1082 6.215622e+02 8.123118e+02
5516.3048 5.817155e+02 7.604260e+02
5517.5014 6.111243e+02 7.990635e+02
5518.6979 6.366972e+02 8.326975e+02
5519.8945 6.089972e+02 7.966533e+02
5521.0911 6.365172e+02 8.328394e+02
5522.2877 5.942844e+02 7.777493e+02
5523.4842 5.769124e+02 7.551733e+02
5524.6808 5.291929e+02 6.928506e+02
5525.8774 5.892639e+02 7.716519e+02
5527.0739 5.561625e+02 7.284446e+02
5528.2705 5.779576e+02 7.571316e+02
5529.4671 5.846057e+02 7.659780e+02
5530.6637 6.281042e+02 8.231143e+02
5531.8602 5.980407e+02 7.838477e+02
5533.0568 7.455067e+02 9.772874e+02
5534.2534 6.010612e+02 7.880552e+02
5535.4499 6.982150e+02 9.155701e+02
5536.6465 7.039769e+02 9.232573e+02
5537.8431 6.606201e+02 8.665137e+02
5539.0397 5.687057e+02 7.460500e+02
5540.2362 6.370985e+02 8.358745e+02
5541.4328 6.547258e+02 8.591035e+02
5542.6294 5.934235e+02 7.787529e+02
5543.8259 5.698326e+02 7.478745e+02
5545.0225 5.838926e+02 7.664050e+02
5546.2191 4.865789e+02 6.387339e+02
5547.4156 4.901803e+02 6.435190e+02
5548.6122 6.099271e+02 8.007922e+02
5549.8088 5.986814e+02 7.860889e+02
5551.0054 6.279854e+02 8.246257e+02
5552.2019 5.198871e+02 6.827244e+02
5553.3985 7.201146e+02 9.457241e+02
5554.5951 5.989026e+02 7.865806e+02
5555.7916 6.492407e+02 8.527358e+02
5556.9882 7.288378e+02 9.573242e+02
5558.1848 5.527982e+02 7.261255e+02
5559.3814 5.794111e+02 7.611084e+02
5560.5779 5.637730e+02 7.405874e+02
5561.7745 6.008327e+02 7.892881e+02
5562.9711 5.981593e+02 7.857900e+02
5564.1676 5.853556e+02 7.689795e+02
5565.3642 6.692122e+02 8.791479e+02
5566.5608 6.241439e+02 8.199429e+02
5567.7574 6.266711e+02 8.232603e+02
5568.9539 5.851111e+02 7.686562e+02
5570.1505 6.002216e+02 7.884961e+02
5571.3471 5.343069e+02 7.018926e+02
5572.5436 5.308181e+02 6.972930e+02
5573.7402 6.159282e+02 8.090723e+02
5574.9368 5.276898e+02 6.931406e+02
5576.1333 2.982993e+02 3.918125e+02
5577.3299 3.483096e+02 4.574805e+02
5578.5265 4.665369e+02 6.127344e+02
5579.7231 6.024224e+02 7.911602e+02
5580.9196 8.115920e+02 1.065801e+03
5582.1162 5.536138e+02 7.269727e+02
5583.3128 1.987765e+02 2.610039e+02
5584.5093 5.002803e+02 6.568472e+02
5585.7059 4.744048e+02 6.228262e+02
5586.9025 6.312289e+02 8.286470e+02
5588.0991 6.642186e+02 8.718799e+02
5589.2956 6.167363e+02 8.094800e+02
5590.4922 5.237295e+02 6.873418e+02
5591.6888 4.975411e+02 6.529077e+02
5592.8853 4.811279e+02 6.313042e+02
5594.0819 5.806004e+02 7.617437e+02
5595.2785 6.254825e+02 8.205371e+02
5596.4751 6.332138e+02 8.305833e+02
5597.6716 6.582763e+02 8.633540e+02
5598.8682 6.553923e+02 8.594648e+02
5600.0648 6.381341e+02 8.367256e+02
5601.2613 6.882935e+02 9.023755e+02
5602.4579 6.844814e+02 8.972554e+02
5603.6545 7.134182e+02 9.350562e+02
5604.8511 6.866606e+02 8.998560e+02
5606.0476 5.502558e+02 7.209932e+02
5607.2442 6.497103e+02 8.511777e+02
5608.4408 6.113915e+02 8.008521e+02
5609.6373 5.334971e+02 6.987078e+02
5610.8339 6.110045e+02 8.000867e+02
5612.0305 6.823435e+02 8.933530e+02
5613.2270 5.947765e+02 7.785737e+02
5614.4236 6.541858e+02 8.561924e+02
5615.6202 6.357960e+02 8.319761e+02
5616.8168 6.860380e+02 8.975579e+02
5618.0133 6.933782e+02 9.069934e+02
5619.2099 6.742944e+02 8.818643e+02
5620.4065 6.524387e+02 8.531172e+02
5621.6030 6.149628e+02 8.039575e+02
5622.7996 6.375270e+02 8.332910e+02
5623.9962 6.164800e+02 8.056187e+02
5625.1928 6.224610e+02 8.132681e+02
5626.3893 6.028238e+02 7.874475e+02
5627.5859 5.645368e+02 7.372788e+02
5628.7825 6.271958e+02 8.189353e+02
5629.9790 6.448773e+02 8.418391e+02
5631.1756 6.165735e+02 8.047134e+02
5632.3722 5.835813e+02 7.614839e+02
5633.5688 5.766221e+02 7.522329e+02
5634.7653 6.585441e+02 8.589075e+02
5635.9619 5.438582e+02 7.091636e+02
5637.1585 6.288457e+02 8.197905e+02
5638.3550 5.947643e+02 7.751763e+02
5639.5516 6.273870e+02 8.174980e+02
5640.7482 6.322158e+02 8.235898e+02
5641.9447 6.676420e+02 8.695261e+02
5643.1413 5.568398e+02 7.250391e+02
5644.3379 5.894801e+02 7.673462e+02
5645.5345 6.590386e+02 8.576755e+02
5646.7310 6.409540e+02 8.339268e+02
5647.9276 5.546205e+02 7.214146e+02
5649.1242 5.426396e+02 7.056465e+02
5650.3207 6.293100e+02 8.181372e+02
5651.5173 6.575115e+02 8.545740e+02
5652.7139 6.113420e+02 7.943545e+02
5653.9105 5.334143e+02 6.929111e+02
5655.1070 5.157330e+02 6.697607e+02
5656.3036 5.398759e+02 7.009219e+02
5657.5002 5.932410e+02 7.699932e+02
5658.6967 6.655639e+02 8.636238e+02
5659.8933 6.003802e+02 7.788242e+02
5661.0899 5.274837e+02 6.840684e+02
5662.2865 5.566597e+02 7.217002e+02
5663.4830 6.749391e+02 8.747971e+02
5664.6796 6.702820e+02 8.685107e+02
5665.8762 5.921301e+02 7.670239e+02
5667.0727 4.583555e+02 5.935640e+02
5668.2693 5.822394e+02 7.537708e+02
5669.4659 6.345594e+02 8.212622e+02
5670.6625 6.224977e+02 8.054126e+02
5671.8590 6.052852e+02 7.829087e+02
5673.0556 5.343717e+02 6.909780e+02
5674.2522 5.793609e+02 7.489263e+02
5675.4487 7.265444e+02 9.389023e+02
5676.6453 6.434244e+02 8.312346e+02
5677.8419 6.275393e+02 8.104648e+02
5679.0384 6.148426e+02 7.938230e+02
5680.2350 6.017190e+02 7.766394e+02
5681.4316 5.904852e+02 7.619038e+02
5682.6282 5.195788e+02 6.702046e+02
5683.8247 5.147027e+02 6.637075e+02
5685.0213 6.025392e+02 7.767288e+02
5686.2179 5.939738e+02 7.654463e+02
5687.4144 6.050126e+02 7.794255e+02
5688.6110 5.973833e+02 7.693530e+02
5689.8076 5.261885e+02 6.774478e+02
5691.0042 5.765090e+02 7.419968e+02
5692.2007 6.034584e+02 7.764336e+02
5693.3973 5.721597e+02 7.359272e+02
5694.5939 5.401846e+02 6.945764e+02
5695.7904 5.467773e+02 7.028267e+02
5696.9870 5.876633e+02 7.551372e+02
5698.1836 5.879364e+02 7.552432e+02
5699.3802 5.251065e+02 6.743149e+02
5700.5767 5.860771e+02 7.523652e+02
5701.7733 6.268236e+02 8.044102e+02
5702.9699 6.077720e+02 7.797061e+02
5704.1664 5.797591e+02 7.435249e+02
5705.3630 5.302171e+02 6.797656e+02
5706.5596 5.615929e+02 7.197544e+02
5707.7561 6.048638e+02 7.749565e+02
5708.9527 6.090960e+02 7.801218e+02
5710.1493 5.939432e+02 7.604634e+02
5711.3459 5.670928e+02 7.258452e+02
5712.5424 4.984533e+02 6.377798e+02
5713.7390 4.819428e+02 6.164502e+02
5714.9356 5.888552e+02 7.529517e+02
5716.1321 5.549025e+02 7.093022e+02
5717.3287 5.433244e+02 6.942722e+02
5718.5253 4.629843e+02 5.914155e+02
5719.7219 4.969166e+02 6.345498e+02
5720.9184 5.097574e+02 6.507310e+02
5722.1150 5.248328e+02 6.697529e+02
5723.3116 5.468399e+02 6.976050e+02
5724.5081 6.278679e+02 8.007065e+02
5725.7047 5.653986e+02 7.208013e+02
5726.9013 5.380270e+02 6.856787e+02
5728.0979 6.078091e+02 7.743540e+02
5729.2944 5.553736e+02 7.073159e+02
5730.4910 5.763736e+02 7.338176e+02
5731.6876 6.379092e+02 8.118933e+02
5732.8841 6.382026e+02 8.119976e+02
5734.0807 7.340151e+02 9.335925e+02
5735.2773 7.613484e+02 9.680374e+02
5736.4739 6.612198e+02 8.404482e+02
5737.6704 5.845447e+02 7.427446e+02
5738.8670 5.869519e+02 7.455574e+02
5740.0636 6.008483e+02 7.629575e+02
5741.2601 6.004424e+02 7.621914e+02
5742.4567 5.461946e+02 6.931025e+02
5743.6533 5.461306e+02 6.927939e+02
5744.8498 5.807571e+02 7.364783e+02
5746.0464 6.610030e+02 8.379670e+02
5747.2430 6.390419e+02 8.098623e+02
5748.4396 6.246122e+02 7.913176e+02
5749.6361 5.859089e+02 7.420435e+02
5750.8327 6.994091e+02 8.855024e+02
5752.0293 5.760818e+02 7.291252e+02
5753.2258 6.148673e+02 7.779634e+02
5754.4224 6.548908e+02 8.283364e+02
5755.6190 5.491578e+02 6.943774e+02
5756.8156 5.251909e+02 6.638599e+02
5758.0121 6.650622e+02 8.403936e+02
5759.2087 6.064811e+02 7.661245e+02
5760.4053 5.858230e+02 7.397935e+02
5761.6018 5.938170e+02 7.496509e+02
5762.7984 6.028197e+02 7.607759e+02
5763.9950 5.377492e+02 6.784414e+02
5765.1916 5.826766e+02 7.348926e+02
5766.3881 6.140401e+02 7.742070e+02
5767.5847 5.797219e+02 7.307095e+02
5768.7813 5.751337e+02 7.247012e+02
5769.9778 5.404817e+02 6.808269e+02
5771.1744 5.264472e+02 6.629436e+02
5772.3710 5.358405e+02 6.745652e+02
5773.5675 5.657328e+02 7.119785e+02
5774.7641 5.838075e+02 7.345017e+02
5775.9607 7.123823e+02 8.959927e+02
5777.1573 5.491655e+02 6.904995e+02
5778.3538 6.034597e+02 7.585386e+02
5779.5504 6.157433e+02 7.737471e+02
5780.7470 6.094693e+02 7.656348e+02
5781.9435 4.748598e+02 5.963569e+02
5783.1401 5.818945e+02 7.305615e+02
5784.3367 5.964136e+02 7.485698e+02
5785.5333 5.470790e+02 6.864482e+02
5786.7298 5.936226e+02 7.446321e+02
5787.9264 5.372217e+02 6.736885e+02
5789.1230 5.394802e+02 6.763257e+02
5790.3195 5.075159e+02 6.360710e+02
