# wavelength flux(cal) flux
5238.7269 1.470003e+03 1.631195e+03
5239.9245 1.265388e+03 1.404016e+03
5241.1221 1.131132e+03 1.254973e+03
5242.3197 1.338144e+03 1.484598e+03
5243.5174 1.296145e+03 1.437992e+03
5244.7150 1.126921e+03 1.250273e+03
5245.9126 1.269414e+03 1.408430e+03
5247.1102 1.217259e+03 1.350660e+03
5248.3079 1.038974e+03 1.152949e+03
5249.5055 1.046378e+03 1.161309e+03
5250.7031 1.054807e+03 1.170836e+03
5251.9007 1.325517e+03 1.471578e+03
5253.0984 1.540818e+03 1.710938e+03
5254.2960 1.395166e+03 1.549543e+03
5255.4936 1.682667e+03 1.869309e+03
5256.6912 1.528745e+03 1.698762e+03
5257.8889 1.180529e+03 1.312195e+03
5259.0865 1.416244e+03 1.574684e+03
5260.2841 1.282127e+03 1.426031e+03
5261.4817 1.453822e+03 1.617562e+03
5262.6793 1.081330e+03 1.203562e+03
5263.8770 1.399163e+03 1.557930e+03
5265.0746 1.053872e+03 1.173938e+03
5266.2722 1.148966e+03 1.280414e+03
5267.4698 1.373525e+03 1.531348e+03
5268.6675 1.466268e+03 1.635508e+03
5269.8651 1.330244e+03 1.484500e+03
5271.0627 1.136763e+03 1.269219e+03
5272.2603 1.202953e+03 1.343816e+03
5273.4580 1.363185e+03 1.523625e+03
5274.6556 1.328863e+03 1.486082e+03
5275.8532 1.318471e+03 1.475297e+03
5277.0508 1.416005e+03 1.585355e+03
5278.2485 1.391472e+03 1.558820e+03
5279.4461 1.431607e+03 1.604766e+03
5280.6437 1.272322e+03 1.427109e+03
5281.8413 1.328941e+03 1.491574e+03
5283.0390 1.270929e+03 1.427398e+03
5284.2366 1.213167e+03 1.363438e+03
5285.4342 1.400328e+03 1.574855e+03
5286.6318 1.075675e+03 1.210582e+03
5287.8295 1.208707e+03 1.361262e+03
5289.0271 1.134930e+03 1.279094e+03
5290.2247 1.037669e+03 1.170336e+03
5291.4223 1.432735e+03 1.617113e+03
5292.6199 1.497637e+03 1.691645e+03
5293.8176 1.625090e+03 1.837016e+03
5295.0152 1.477648e+03 1.671645e+03
5296.2128 1.258032e+03 1.424316e+03
5297.4104 1.340075e+03 1.518414e+03
5298.6081 1.379234e+03 1.564047e+03
5299.8057 1.220701e+03 1.385402e+03
5301.0033 1.302267e+03 1.479195e+03
5302.2009 1.608379e+03 1.828422e+03
5303.3986 1.849688e+03 2.104520e+03
5304.5962 1.474605e+03 1.679191e+03
5305.7938 1.686122e+03 1.921707e+03
5306.9914 1.257841e+03 1.434832e+03
5308.1891 1.532191e+03 1.749316e+03
5309.3867 1.247629e+03 1.425688e+03
5310.5843 1.599679e+03 1.829609e+03
5311.7819 1.409672e+03 1.613738e+03
5312.9796 1.356736e+03 1.554543e+03
5314.1772 1.406345e+03 1.612852e+03
5315.3748 1.572594e+03 1.805164e+03
5316.5724 1.564770e+03 1.797840e+03
5317.7701 1.588211e+03 1.826465e+03
5318.9677 1.624307e+03 1.869719e+03
5320.1653 1.508876e+03 1.738477e+03
5321.3629 1.633132e+03 1.883414e+03
5322.5605 1.732201e+03 1.999559e+03
5323.7582 1.548731e+03 1.789473e+03
5324.9558 1.491252e+03 1.724707e+03
5326.1534 1.652954e+03 1.913559e+03
5327.3510 1.495392e+03 1.732824e+03
5328.5487 1.772343e+03 2.055734e+03
5329.7463 1.561137e+03 1.812516e+03
5330.9439 1.717871e+03 1.996430e+03
5332.1415 1.531156e+03 1.781176e+03
5333.3392 1.431957e+03 1.667410e+03
5334.5368 1.347073e+03 1.570109e+03
5335.7344 1.591215e+03 1.856500e+03
5336.9320 1.631630e+03 1.905531e+03
5338.1297 1.675754e+03 1.958996e+03
5339.3273 1.686782e+03 1.973840e+03
5340.5249 1.463713e+03 1.714508e+03
5341.7225 1.440660e+03 1.689180e+03
5342.9202 1.595120e+03 1.872145e+03
5344.1178 1.602286e+03 1.882426e+03
5345.3154 1.608544e+03 1.891660e+03
5346.5130 1.604772e+03 1.889105e+03
5347.7106 1.311871e+03 1.545848e+03
5348.9083 1.491939e+03 1.759785e+03
5350.1059 1.469440e+03 1.734977e+03
5351.3035 1.359156e+03 1.606363e+03
5352.5011 1.574252e+03 1.862438e+03
5353.6988 1.609845e+03 1.906445e+03
5354.8964 1.381325e+03 1.637453e+03
5356.0940 1.948783e+03 2.312430e+03
5357.2916 1.669073e+03 1.982496e+03
5358.4893 1.605659e+03 1.909070e+03
