# wavelength flux(cal) flux
3585.6210 1.809929e+04 1.724059e+05
3586.8476 1.409290e+04 1.333988e+05
3588.0742 9.701111e+03 9.124322e+04
3589.3008 2.419376e+03 2.260880e+04
3590.5274 1.553018e+03 1.441829e+04
3591.7540 1.229577e+03 1.134031e+04
3592.9806 1.158930e+03 1.061763e+04
3594.2072 1.191332e+03 1.084112e+04
3595.4338 9.849659e+02 8.902340e+03
3596.6604 9.679985e+02 8.689008e+03
3597.8870 1.093007e+03 9.743219e+03
3599.1136 1.168155e+03 1.034038e+04
3600.3403 1.182674e+03 1.039514e+04
3601.5669 1.129047e+03 9.853250e+03
3602.7935 1.172563e+03 1.015968e+04
3604.0201 1.135714e+03 9.769305e+03
3605.2467 1.225055e+03 1.046106e+04
3606.4733 1.270374e+03 1.076845e+04
3607.6999 1.247459e+03 1.049603e+04
3608.9265 1.230526e+03 1.027646e+04
3610.1531 1.270244e+03 1.052861e+04
3611.3797 1.257901e+03 1.034758e+04
3612.6063 1.135409e+03 9.268961e+03
3613.8329 1.248664e+03 1.011556e+04
3615.0595 1.292920e+03 1.039347e+04
3616.2862 1.375651e+03 1.097289e+04
3617.5128 1.426047e+03 1.128629e+04
3618.7394 1.304449e+03 1.024305e+04
3619.9660 1.222230e+03 9.521852e+03
3621.1926 1.283814e+03 9.922434e+03
3622.4192 1.291392e+03 9.901566e+03
3623.6458 1.194126e+03 9.082562e+03
3624.8724 1.122922e+03 8.472332e+03
3626.0990 1.165228e+03 8.720539e+03
3627.3256 1.145375e+03 8.502430e+03
3628.5522 1.136100e+03 8.364867e+03
3629.7788 1.143614e+03 8.351293e+03
3631.0054 1.281791e+03 9.283439e+03
3632.2320 1.206787e+03 8.668129e+03
3633.4587 1.163621e+03 8.288871e+03
3634.6853 1.198661e+03 8.467520e+03
3635.9119 1.293475e+03 9.061094e+03
3637.1385 1.238287e+03 8.601891e+03
3638.3651 1.252652e+03 8.628619e+03
3639.5917 1.379955e+03 9.425449e+03
3640.8183 1.265370e+03 8.569779e+03
3642.0449 1.277901e+03 8.581311e+03
3643.2715 1.308073e+03 8.709271e+03
3644.4981 1.081099e+03 7.136725e+03
3645.7247 1.212376e+03 7.934953e+03
3646.9513 1.225616e+03 7.952906e+03
3648.1779 1.237621e+03 7.961863e+03
3649.4046 1.210970e+03 7.723379e+03
3650.6312 1.327162e+03 8.391441e+03
3651.8578 1.292332e+03 8.100605e+03
3653.0844 1.233771e+03 7.666570e+03
3654.3110 1.120245e+03 6.900746e+03
3655.5376 9.813514e+02 5.992623e+03
3656.7642 1.039404e+03 6.291871e+03
3657.9908 1.125915e+03 6.756137e+03
3659.2174 1.149706e+03 6.838658e+03
3660.4440 1.205514e+03 7.107918e+03
3661.6706 1.148063e+03 6.709914e+03
3662.8972 1.230628e+03 7.129426e+03
3664.1238 1.334326e+03 7.662346e+03
3665.3505 1.250523e+03 7.118025e+03
3666.5771 1.192708e+03 6.729244e+03
3667.8037 1.307029e+03 7.309342e+03
3669.0303 1.371998e+03 7.605096e+03
3670.2569 1.212017e+03 6.659092e+03
