# wavelength flux(cal) flux
3585.4324 4.616565e+02 4.125402e+03
3586.6592 4.363882e+02 3.877426e+03
3587.8859 3.714352e+02 3.281281e+03
3589.1126 3.459894e+02 3.038648e+03
3590.3394 3.273755e+02 2.858177e+03
3591.5661 3.178589e+02 2.758487e+03
3592.7929 4.431855e+02 3.822831e+03
3594.0196 4.830950e+02 4.141568e+03
3595.2464 4.810514e+02 4.098517e+03
3596.4731 5.105017e+02 4.322215e+03
3597.6998 3.809143e+02 3.204658e+03
3598.9266 3.991913e+02 3.336975e+03
3600.1533 4.474225e+02 3.716033e+03
3601.3801 4.019298e+02 3.316463e+03
3602.6068 3.289445e+02 2.696400e+03
3603.8336 2.847391e+02 2.318567e+03
3605.0603 3.321093e+02 2.686207e+03
3606.2870 4.308652e+02 3.461473e+03
3607.5138 4.586625e+02 3.659734e+03
3608.7405 4.560992e+02 3.614339e+03
3609.9673 4.481180e+02 3.526566e+03
3611.1940 4.342686e+02 3.393794e+03
3612.4207 4.211106e+02 3.267898e+03
3613.6475 3.614307e+02 2.784974e+03
3614.8742 3.610470e+02 2.762246e+03
3616.1010 3.590562e+02 2.727363e+03
3617.3277 4.180260e+02 3.152432e+03
3618.5545 3.902575e+02 2.921701e+03
3619.7812 4.461933e+02 3.316122e+03
3621.0079 4.592059e+02 3.387812e+03
3622.2347 5.144262e+02 3.767219e+03
3623.4614 4.062053e+02 2.952647e+03
3624.6882 4.362733e+02 3.147571e+03
3625.9149 4.408333e+02 3.156643e+03
3627.1417 4.298543e+02 3.054851e+03
3628.3684 3.667441e+02 2.586625e+03
3629.5951 3.852503e+02 2.696494e+03
3630.8219 3.517306e+02 2.443080e+03
3632.0486 3.097685e+02 2.135115e+03
3633.2754 3.390000e+02 2.318601e+03
3634.5021 4.365520e+02 2.962721e+03
3635.7289 4.084689e+02 2.750608e+03
3636.9556 3.893221e+02 2.601242e+03
3638.1823 4.305522e+02 2.854218e+03
3639.4091 3.419637e+02 2.249151e+03
3640.6358 3.900515e+02 2.545226e+03
3641.8626 4.330410e+02 2.803416e+03
3643.0893 3.892761e+02 2.500113e+03
3644.3161 3.952949e+02 2.518581e+03
3645.5428 4.070091e+02 2.572535e+03
3646.7695 4.445041e+02 2.787057e+03
3647.9963 4.224898e+02 2.627784e+03
3649.2230 3.865226e+02 2.384749e+03
3650.4498 3.304122e+02 2.022132e+03
3651.6765 2.764844e+02 1.678423e+03
3652.9032 3.048150e+02 1.835425e+03
3654.1300 2.954398e+02 1.764538e+03
3655.3567 3.146376e+02 1.863920e+03
3656.5835 3.954712e+02 2.323695e+03
3657.8102 4.889024e+02 2.849231e+03
3659.0370 4.481812e+02 2.590562e+03
3660.2637 3.600146e+02 2.063905e+03
3661.4904 4.386780e+02 2.494245e+03
3662.7172 4.268132e+02 2.406853e+03
3663.9439 3.270321e+02 1.829008e+03
3665.1707 4.093494e+02 2.270536e+03
3666.3974 4.629880e+02 2.546882e+03
3667.6242 3.922800e+02 2.140110e+03
3668.8509 4.040414e+02 2.186065e+03
3670.0776 4.458739e+02 2.392453e+03
3671.3044 3.929994e+02 2.091290e+03
3672.5311 4.062812e+02 2.144063e+03
3673.7579 2.519556e+02 1.318624e+03
3674.9846 4.012177e+02 2.082385e+03
3676.2114 3.630224e+02 1.868515e+03
3677.4381 3.981215e+02 2.032167e+03
3678.6648 3.734741e+02 1.890531e+03
3679.8916 3.818174e+02 1.916715e+03
3681.1183 3.498693e+02 1.741749e+03
3682.3451 3.707663e+02 1.830449e+03
3683.5718 4.058552e+02 1.987037e+03
3684.7986 4.293026e+02 2.084376e+03
3686.0253 4.584128e+02 2.207229e+03
3687.2520 4.125465e+02 1.969891e+03
3688.4788 4.618726e+02 2.187113e+03
3689.7055 4.801506e+02 2.254797e+03
3690.9323 4.144666e+02 1.930199e+03
3692.1590 3.352692e+02 1.548425e+03
3693.3857 3.543030e+02 1.622772e+03
3694.6125 4.389611e+02 1.993871e+03
3695.8392 4.690286e+02 2.112813e+03
3697.0660 4.371483e+02 1.952918e+03
3698.2927 4.245039e+02 1.880760e+03
3699.5195 4.180266e+02 1.836771e+03
3700.7462 3.370600e+02 1.468795e+03
3701.9729 4.065346e+02 1.756945e+03
3703.1997 3.894149e+02 1.669104e+03
3704.4264 4.187595e+02 1.780123e+03
3705.6532 4.428549e+02 1.867091e+03
3706.8799 4.361513e+02 1.823746e+03
3708.1067 4.012672e+02 1.664136e+03
3709.3334 4.734754e+02 1.947535e+03
3710.5601 4.139067e+02 1.688605e+03
3711.7869 3.833847e+02 1.551328e+03
3713.0136 2.286368e+02 9.176216e+02
3714.2404 4.407956e+02 1.754726e+03
3715.4671 3.928372e+02 1.551118e+03
3716.6939 3.801482e+02 1.488852e+03
3717.9206 4.202136e+02 1.632456e+03
3719.1473 4.255534e+02 1.639852e+03
3720.3741 4.983750e+02 1.904989e+03
3721.6008 4.661928e+02 1.767643e+03
3722.8276 4.519737e+02 1.699972e+03
3724.0543 5.328840e+02 1.988237e+03
3725.2811 4.317565e+02 1.598043e+03
3726.5078 4.088550e+02 1.501208e+03
3727.7345 4.196600e+02 1.528616e+03
3728.9613 4.185013e+02 1.512290e+03
3730.1880 4.171479e+02 1.495456e+03
3731.4148 3.425365e+02 1.218271e+03
3732.6415 3.172154e+02 1.119318e+03
3733.8682 3.480366e+02 1.218413e+03
3735.0950 3.149417e+02 1.093903e+03
3736.3217 3.702864e+02 1.276070e+03
3737.5485 4.240853e+02 1.450063e+03
3738.7752 4.100468e+02 1.391147e+03
3740.0020 4.816389e+02 1.621349e+03
3741.2287 4.588794e+02 1.532774e+03
3742.4554 4.887741e+02 1.620027e+03
3743.6822 4.227317e+02 1.390346e+03
3744.9089 3.463208e+02 1.130291e+03
3746.1357 3.544200e+02 1.147873e+03
3747.3624 3.540974e+02 1.138078e+03
3748.5892 4.288478e+02 1.367844e+03
3749.8159 4.814977e+02 1.524130e+03
3751.0426 5.417687e+02 1.701949e+03
3752.2694 3.954926e+02 1.233066e+03
3753.4961 4.701532e+02 1.454835e+03
3754.7229 4.371255e+02 1.342510e+03
3755.9496 4.224627e+02 1.287798e+03
3757.1764 4.687182e+02 1.418176e+03
3758.4031 4.250111e+02 1.276406e+03
3759.6298 2.933362e+02 8.744517e+02
3760.8566 3.449178e+02 1.020654e+03
3762.0833 4.092329e+02 1.202093e+03
3763.3101 4.870355e+02 1.420182e+03
3764.5368 4.725018e+02 1.367775e+03
3765.7636 4.279931e+02 1.229950e+03
3766.9903 4.439140e+02 1.266488e+03
3768.2170 3.976410e+02 1.126307e+03
3769.4438 4.377704e+02 1.231084e+03
3770.6705 4.582611e+02 1.279505e+03
3771.8973 4.463848e+02 1.237481e+03
3773.1240 5.181741e+02 1.426321e+03
3774.3507 5.103120e+02 1.394769e+03
3775.5775 4.747447e+02 1.288440e+03
3776.8042 4.761356e+02 1.283172e+03
3778.0310 5.005315e+02 1.339518e+03
3779.2577 4.844790e+02 1.287561e+03
3780.4845 3.817690e+02 1.007585e+03
3781.7112 5.158693e+02 1.352142e+03
3782.9379 5.171412e+02 1.346190e+03
3784.1647 4.525446e+02 1.170001e+03
3785.3914 3.812129e+02 9.788887e+02
3786.6182 4.659590e+02 1.188413e+03
3787.8449 5.382125e+02 1.363456e+03
3789.0717 5.479382e+02 1.378794e+03
3790.2984 4.384936e+02 1.096038e+03
3791.5251 6.302307e+02 1.564838e+03
3792.7519 5.195757e+02 1.281563e+03
3793.9786 4.653917e+02 1.140368e+03
3795.2054 4.844802e+02 1.179373e+03
3796.4321 5.065600e+02 1.225091e+03
3797.6589 5.591383e+02 1.343485e+03
3798.8856 4.042296e+02 9.650103e+02
3800.1123 5.526155e+02 1.310784e+03
3801.3391 5.149816e+02 1.213718e+03
3802.5658 5.261003e+02 1.232045e+03
3803.7926 5.011273e+02 1.166144e+03
3805.0193 4.265687e+02 9.864009e+02
3806.2461 4.913725e+02 1.129145e+03
3807.4728 4.680940e+02 1.068958e+03
3808.6995 3.766898e+02 8.548979e+02
3809.9263 3.998774e+02 9.019336e+02
3811.1530 4.022517e+02 9.017314e+02
3812.3798 3.871635e+02 8.626201e+02
3813.6065 4.662789e+02 1.032598e+03
3814.8332 5.646041e+02 1.242809e+03
3816.0600 5.271253e+02 1.153356e+03
3817.2867 5.744570e+02 1.249427e+03
3818.5135 6.003825e+02 1.298075e+03
3819.7402 4.308300e+02 9.259995e+02
3820.9670 4.372970e+02 9.343916e+02
3822.1937 5.463715e+02 1.160654e+03
3823.4204 5.100835e+02 1.077291e+03
3824.6472 5.697704e+02 1.196418e+03
3825.8739 5.863253e+02 1.224132e+03
3827.1007 5.201547e+02 1.079800e+03
3828.3274 4.765229e+02 9.836265e+02
3829.5542 5.422174e+02 1.112937e+03
3830.7809 4.153402e+02 8.477476e+02
3832.0076 7.205291e+02 1.462495e+03
3833.2344 5.503895e+02 1.110985e+03
3834.4611 5.501324e+02 1.104372e+03
3835.6879 5.195128e+02 1.037216e+03
3836.9146 4.408917e+02 8.754768e+02
3838.1414 5.941572e+02 1.173461e+03
3839.3681 5.368262e+02 1.054559e+03
3840.5948 7.088484e+02 1.385081e+03
3841.8216 6.645793e+02 1.291719e+03
3843.0483 5.811348e+02 1.123602e+03
3844.2751 6.254240e+02 1.202928e+03
3845.5018 6.771812e+02 1.295729e+03
3846.7286 6.274401e+02 1.194376e+03
3847.9553 5.833605e+02 1.104791e+03
3849.1820 7.657615e+02 1.442866e+03
3850.4088 1.172970e+03 2.198993e+03
3851.6355 1.585087e+03 2.956714e+03
3852.8623 2.169451e+03 4.026616e+03
3854.0890 2.983249e+03 5.509717e+03
3855.3158 3.668197e+03 6.741503e+03
3856.5425 4.049102e+03 7.405290e+03
3857.7692 4.202854e+03 7.649305e+03
3858.9960 3.940034e+03 7.136526e+03
3860.2227 3.318849e+03 5.982720e+03
3861.4495 2.676533e+03 4.802009e+03
3862.6762 1.821284e+03 3.252237e+03
3863.9029 1.007220e+03 1.790185e+03
3865.1297 7.687702e+02 1.360048e+03
3866.3564 7.776407e+02 1.369417e+03
3867.5832 7.207494e+02 1.263441e+03
3868.8099 5.909396e+02 1.031200e+03
3870.0367 6.526345e+02 1.133740e+03
3871.2634 6.755225e+02 1.168267e+03
3872.4901 4.976451e+02 8.568318e+02
3873.7169 5.810770e+02 9.960886e+02
3874.9436 6.027578e+02 1.028751e+03
3876.1704 6.546188e+02 1.112434e+03
3877.3971 5.736593e+02 9.706729e+02
3878.6239 6.733041e+02 1.134431e+03
3879.8506 7.487525e+02 1.256225e+03
3881.0773 8.370901e+02 1.398553e+03
3882.3041 7.458599e+02 1.240955e+03
3883.5308 7.740173e+02 1.282497e+03
3884.7576 7.519400e+02 1.240825e+03
3885.9843 7.069081e+02 1.161787e+03
3887.2111 7.150192e+02 1.170395e+03
3888.4378 7.653938e+02 1.247858e+03
3889.6645 7.224608e+02 1.173207e+03
3890.8913 7.093827e+02 1.147456e+03
3892.1180 7.259901e+02 1.169756e+03
3893.3448 7.682564e+02 1.233090e+03
3894.5715 6.934772e+02 1.108816e+03
3895.7983 6.991398e+02 1.113639e+03
3897.0250 7.449168e+02 1.182104e+03
3898.2517 7.060564e+02 1.116270e+03
3899.4785 6.836936e+02 1.076930e+03
3900.7052 7.460734e+02 1.170896e+03
3901.9320 7.457009e+02 1.166075e+03
3903.1587 8.639531e+02 1.346144e+03
3904.3854 8.898347e+02 1.381543e+03
3905.6122 7.703561e+02 1.191831e+03
3906.8389 8.303445e+02 1.280158e+03
3908.0657 8.227487e+02 1.264064e+03
3909.2924 8.509062e+02 1.302849e+03
3910.5192 8.517009e+02 1.299644e+03
3911.7459 9.471508e+02 1.440440e+03
3912.9726 9.574563e+02 1.451269e+03
3914.1994 9.041788e+02 1.365999e+03
3915.4261 6.593295e+02 9.928403e+02
3916.6529 6.391312e+02 9.593164e+02
3917.8796 7.063542e+02 1.056825e+03
3919.1064 7.833570e+02 1.168324e+03
3920.3331 7.267485e+02 1.080499e+03
3921.5598 7.492429e+02 1.110486e+03
3922.7866 7.663691e+02 1.132381e+03
3924.0133 7.789255e+02 1.147436e+03
3925.2401 7.871362e+02 1.156043e+03
3926.4668 7.882545e+02 1.154240e+03
3927.6936 8.499092e+02 1.240855e+03
3928.9203 8.849664e+02 1.288272e+03
3930.1470 8.243298e+02 1.196542e+03
3931.3738 8.298354e+02 1.201098e+03
3932.6005 8.939241e+02 1.290209e+03
3933.8273 8.223495e+02 1.183592e+03
3935.0540 7.580798e+02 1.088079e+03
3936.2808 8.096609e+02 1.158942e+03
3937.5075 8.385396e+02 1.197039e+03
3938.7342 7.308580e+02 1.040537e+03
3939.9610 7.822929e+02 1.110827e+03
3941.1877 8.215674e+02 1.163553e+03
3942.4145 8.773854e+02 1.239403e+03
3943.6412 8.587393e+02 1.209973e+03
3944.8679 8.575056e+02 1.205192e+03
3946.0947 7.980892e+02 1.118894e+03
3947.3214 9.387837e+02 1.312907e+03
3948.5482 8.664946e+02 1.208866e+03
3949.7749 9.303203e+02 1.294796e+03
3951.0017 8.684822e+02 1.205867e+03
3952.2284 8.961979e+02 1.241437e+03
3953.4551 8.007674e+02 1.106679e+03
3954.6819 8.902786e+02 1.227577e+03
3955.9086 9.727963e+02 1.338335e+03
3957.1354 8.933189e+02 1.226259e+03
3958.3621 9.451490e+02 1.294557e+03
3959.5889 9.629886e+02 1.316132e+03
3960.8156 9.384887e+02 1.279904e+03
3962.0423 8.688734e+02 1.182462e+03
3963.2691 8.913782e+02 1.210563e+03
3964.4958 9.159520e+02 1.241380e+03
3965.7226 9.722112e+02 1.314958e+03
3966.9493 9.800869e+02 1.322961e+03
3968.1761 9.914218e+02 1.335624e+03
3969.4028 1.044316e+03 1.404147e+03
3970.6295 1.036886e+03 1.391488e+03
3971.8563 1.002553e+03 1.342872e+03
3973.0830 8.767302e+02 1.172154e+03
3974.3098 8.416823e+02 1.123232e+03
3975.5365 8.296322e+02 1.105151e+03
3976.7633 7.801248e+02 1.037353e+03
3977.9900 8.096320e+02 1.074703e+03
3979.2167 8.767903e+02 1.161840e+03
3980.4435 9.261044e+02 1.225100e+03
3981.6702 8.069956e+02 1.065751e+03
3982.8970 9.049009e+02 1.193081e+03
3984.1237 8.684399e+02 1.143153e+03
3985.3504 1.041099e+03 1.368243e+03
3986.5772 1.005959e+03 1.319988e+03
3987.8039 9.874266e+02 1.293672e+03
3989.0307 1.037000e+03 1.356561e+03
3990.2574 9.185402e+02 1.199804e+03
3991.4842 9.941751e+02 1.296696e+03
3992.7109 1.032590e+03 1.344860e+03
3993.9376 8.878596e+02 1.154725e+03
3995.1644 1.022235e+03 1.327642e+03
3996.3911 1.022496e+03 1.326167e+03
3997.6179 1.342150e+03 1.738422e+03
3998.8446 1.785604e+03 2.309765e+03
4000.0714 2.096082e+03 2.707884e+03
4001.2981 2.491598e+03 3.214766e+03
4002.5248 2.805946e+03 3.615854e+03
4003.7516 2.910645e+03 3.746206e+03
4004.9783 2.876641e+03 3.698021e+03
4006.2051 2.427089e+03 3.116457e+03
4007.4318 1.619615e+03 2.077252e+03
4008.6586 1.102976e+03 1.413044e+03
4009.8853 9.771127e+02 1.250423e+03
4011.1120 9.828146e+02 1.256368e+03
4012.3388 1.006394e+03 1.285156e+03
4013.5655 9.581298e+02 1.222265e+03
4014.7923 9.077440e+02 1.156824e+03
4016.0190 7.248801e+02 9.228757e+02
4017.2458 8.267328e+02 1.051539e+03
4018.4725 9.987825e+02 1.269181e+03
4019.6992 1.217805e+03 1.546084e+03
4020.9260 1.297681e+03 1.646021e+03
4022.1527 1.181430e+03 1.497262e+03
4023.3795 1.436601e+03 1.819104e+03
4024.6062 1.532880e+03 1.939415e+03
4025.8329 1.448812e+03 1.831577e+03
4027.0597 1.296692e+03 1.637986e+03
4028.2864 9.686404e+02 1.222659e+03
4029.5132 8.659965e+02 1.092290e+03
4030.7399 9.529250e+02 1.201071e+03
4031.9667 9.804859e+02 1.234948e+03
4033.1934 9.938360e+02 1.250918e+03
4034.4201 9.332111e+02 1.173842e+03
4035.6469 9.015294e+02 1.133273e+03
4036.8736 9.239297e+02 1.160720e+03
4038.1004 8.856478e+02 1.111968e+03
4039.3271 9.174819e+02 1.151278e+03
4040.5539 9.464369e+02 1.186957e+03
4041.7806 8.979116e+02 1.125501e+03
4043.0073 8.864589e+02 1.110578e+03
4044.2341 8.925501e+02 1.117660e+03
4045.4608 8.875706e+02 1.110901e+03
4046.6876 9.018865e+02 1.128309e+03
4047.9143 9.598082e+02 1.200253e+03
4049.1411 9.504393e+02 1.188046e+03
4050.3678 9.453134e+02 1.181174e+03
4051.5945 9.681653e+02 1.209275e+03
4052.8213 9.788871e+02 1.222232e+03
4054.0480 9.098536e+02 1.135656e+03
4055.2748 8.460695e+02 1.055706e+03
4056.5015 8.276025e+02 1.032355e+03
4057.7283 8.667585e+02 1.080895e+03
4058.9550 9.814755e+02 1.223633e+03
4060.1817 9.479716e+02 1.181574e+03
4061.4085 9.280620e+02 1.156497e+03
4062.6352 7.879431e+02 9.816851e+02
4063.8620 8.373271e+02 1.043014e+03
4065.0887 8.557244e+02 1.065747e+03
4066.3155 8.374861e+02 1.042871e+03
4067.5422 9.375235e+02 1.167281e+03
4068.7689 8.078926e+02 1.005761e+03
4069.9957 8.571003e+02 1.066912e+03
4071.2224 7.564594e+02 9.415542e+02
4072.4492 7.907135e+02 9.841223e+02
4073.6759 8.588225e+02 1.068836e+03
4074.9026 8.563013e+02 1.065661e+03
4076.1294 8.597237e+02 1.069900e+03
4077.3561 8.632911e+02 1.074338e+03
4078.5829 8.240580e+02 1.025528e+03
4079.8096 8.574017e+02 1.067056e+03
4081.0364 9.080413e+02 1.130131e+03
4082.2631 9.229263e+02 1.148729e+03
4083.4898 8.650089e+02 1.076726e+03
4084.7166 8.442922e+02 1.051038e+03
4085.9433 8.279267e+02 1.030778e+03
4087.1701 7.847366e+02 9.771277e+02
4088.3968 7.785073e+02 9.695073e+02
4089.6236 8.528625e+02 1.062270e+03
4090.8503 8.716223e+02 1.085822e+03
4092.0770 7.705200e+02 9.600518e+02
4093.3038 8.335493e+02 1.038793e+03
4094.5305 7.598095e+02 9.471003e+02
4095.7573 8.153824e+02 1.016605e+03
4096.9840 7.805035e+02 9.733564e+02
4098.2108 7.908516e+02 9.865164e+02
4099.4375 8.121599e+02 1.013373e+03
4100.6642 1.034199e+03 1.290792e+03
4101.8910 1.232564e+03 1.538836e+03
4103.1177 1.412926e+03 1.764570e+03
4104.3445 1.546142e+03 1.931574e+03
4105.5712 1.503169e+03 1.878531e+03
4106.7980 1.726717e+03 2.158669e+03
4108.0247 1.785979e+03 2.233579e+03
4109.2514 1.532736e+03 1.917600e+03
4110.4782 1.201882e+03 1.504264e+03
4111.7049 9.091467e+02 1.138344e+03
4112.9317 7.863088e+02 9.849526e+02
4114.1584 7.430507e+02 9.311699e+02
4115.3851 7.978560e+02 1.000297e+03
4116.6119 8.128599e+02 1.019575e+03
4117.8386 7.931392e+02 9.953081e+02
4119.0654 7.894800e+02 9.911953e+02
4120.2921 8.481804e+02 1.065422e+03
4121.5189 8.444021e+02 1.061214e+03
4122.7456 8.006038e+02 1.006693e+03
4123.9723 8.061517e+02 1.014208e+03
4125.1991 8.362778e+02 1.052680e+03
4126.4258 8.187766e+02 1.031222e+03
4127.6526 8.539899e+02 1.076181e+03
4128.8793 8.183463e+02 1.031859e+03
4130.1061 9.039998e+02 1.140531e+03
4131.3328 8.565028e+02 1.081255e+03
4132.5595 8.819066e+02 1.114005e+03
4133.7863 8.362405e+02 1.056978e+03
4135.0130 8.433190e+02 1.066599e+03
4136.2398 7.209187e+02 9.123779e+02
4137.4665 8.226105e+02 1.041757e+03
4138.6933 9.333033e+02 1.182724e+03
