# Wavelength in nm, Data in W / (nm m2)
wavelength data
328.82847275117956 1.0906020688848272e-17
328.89058178196944 8.55357362066789e-18
328.95269081275933 2.2798472869729812e-18
329.0147998435492 8.383100795407449e-18
329.0769088743391 1.7996775027052886e-17
329.139017905129 2.2456363789677374e-17
329.20112693591886 1.5578649818235793e-17
329.2632359667087 8.589977012245736e-18
329.3253449974986 7.208200750297343e-18
329.38745402828846 1.4063096117361036e-17
329.4495630590783 7.849469211456627e-18
329.51167208986817 -4.71544689302541e-18
329.57378112065805 7.222955998064064e-18
329.63589015144794 4.26441012041862e-18
329.6979991822378 8.931381748006585e-18
329.7601082130277 1.2565619621593013e-17
329.8222172438176 1.1375685568849756e-17
329.8843262746075 9.637485452758388e-18
329.94643530539736 7.643920619501488e-18
330.0085443361872 7.199134850783762e-18
330.07065336697707 2.2807870882259333e-17
330.13276239776695 1.7715929011117657e-17
330.19487142855684 2.4636530642958887e-17
330.25698045934666 3.2153450087112046e-17
330.31908949013655 -9.069993230432708e-18
330.38119852092643 1.916778318738093e-17
330.4433075517163 2.0097385303380274e-17
330.5054165825062 1.1540809844269429e-17
330.5675256132961 2.2235269992470526e-17
330.62963464408597 -1.0604366944604272e-17
330.69174367487585 8.46532254829522e-18
330.75385270566574 2.0546316074147503e-17
330.81596173645556 3.587505064109326e-18
330.87807076724545 2.224236389340378e-17
330.94017979803533 2.1057411122309317e-17
331.00228882882516 2.4591998547501483e-17
331.06439785961504 1.0582568253921662e-17
331.1265068904049 -3.3095161300098553e-18
331.1886159211948 1.1697306625900174e-17
331.2507249519847 1.6790118691046256e-17
331.3128339827746 8.249178599873889e-18
331.37494301356446 9.719887531019696e-18
331.43705204435435 2.6831639686825558e-17
331.49916107514423 3.410570552057805e-17
331.5612701059341 2.3500694202276598e-17
331.62337913672394 1.8882568003450196e-17
331.6854881675138 2.528822819728124e-17
331.7475971983037 1.1665950690420126e-17
331.80970622909354 5.0628615095267625e-17
331.8718152598834 2.085248539735543e-17
331.9339242906733 1.4535606498669702e-17
331.9960333214632 1.4514644087586383e-17
332.05814235225307 4.727879169477898e-17
332.12025138304296 3.106833470723028e-17
332.18236041383284 2.1869366648507694e-17
332.2444694446227 1.3285781054060002e-18
332.3065784754126 2.1642312187806788e-17
332.3686875062025 2.2045230209820143e-17
332.4307965369923 1.343577226696817e-17
332.4929055677822 -4.549251005122174e-18
332.5550145985721 6.441167748805496e-18
332.6171236293619 -1.0579666504332826e-17
332.6792326601518 -3.445391547123837e-17
332.7413416909417 1.7863529465260394e-17
332.80345072173156 3.7815544393429373e-17
332.86555975252145 2.0823530767193624e-17
332.92766878331133 8.724358293019263e-18
332.9897778141012 3.719061274936801e-17
333.0518868448911 3.970391832254913e-17
333.113995875681 2.237151656552536e-17
333.1761049064708 4.849365200810091e-17
333.2382139372607 6.089276182674822e-17
333.3003229680506 4.223454174903466e-17
333.36243199884046 6.298979041102326e-17
333.4245410296303 4.94075674709638e-17
333.4866500604202 5.651397868380281e-17
333.54875909121006 2.5192607772831336e-17
333.61086812199994 8.672684320153076e-18
333.6729771527898 4.4641872250857935e-17
333.7350861835797 4.97889605990773e-17
333.7971952143696 4.149855945337683e-17
333.8593042451595 6.458791658936551e-17
333.92141327594936 -2.2456820393375504e-18
333.9835223067392 2.3148154788290173e-17
334.0456313375291 3.338787156755963e-17
334.10774036831896 2.2866835625044563e-17
334.1698493991088 5.23815828668349e-17
334.23195842989867 4.77736177546531e-17
334.29406746068855 5.024290077563415e-17
334.35617649147844 2.6431118834227382e-17
334.4182855222683 2.800230704874123e-17
334.4803945530582 5.180131566712895e-17
334.5425035838481 2.904323774902286e-17
334.604612614638 -4.884106951973441e-18
334.66672164542786 3.0508846698101972e-18
334.72883067621774 1.658729896793193e-17
334.79093970700757 2.791996618184525e-17
334.85304873779745 5.475071085924803e-17
334.91515776858733 2.494591604438842e-17
334.97726679937716 -1.0670798646779018e-17
335.03937583016705 4.162181598209213e-17
335.10148486095693 7.081595132717936e-17
335.1635938917468 2.533391834559622e-17
335.2257029225367 2.5855822990002877e-17
335.2878119533266 -4.404228045768152e-19
335.34992098411647 4.95138692786636e-18
335.41203001490635 4.2346019225827206e-17
335.47413904569623 6.577007679871199e-17
335.53624807648606 4.628155598317485e-17
335.59835710727594 2.8548633373552904e-17
335.66046613806583 2.145624287209666e-17
335.7225751688557 6.557071965364181e-17
335.78468419964554 4.24740328702453e-18
335.8467932304354 -8.307090341739339e-18
335.9089022612253 3.076754205800395e-17
335.9710112920152 5.124957296366628e-17
336.0331203228051 2.7259118355586837e-17
336.09522935359496 3.847740799748e-17
336.15733838438484 7.303030390081647e-18
336.2194474151747 2.5985467007408313e-17
336.2815564459646 7.815749193785903e-18
336.34366547675444 3.5362017508756236e-17
336.4057745075443 5.582343507355375e-17
336.4678835383342 4.149794733972354e-17
336.52999256912403 5.96958910373881e-17
336.5921015999139 2.8288015232317046e-17
336.6542106307038 -6.1111355056963324e-18
336.7163196614937 2.6385941537892186e-17
336.77842869228357 2.629871203357602e-17
336.84053772307345 2.2425382567014813e-17
336.90264675386334 1.187173089294678e-17
336.9647557846532 7.911033617470989e-17
337.0268648154431 4.63150931939302e-17
337.088973846233 1.543031813643156e-17
337.1510828770228 8.39840363673968e-18
337.2131919078127 2.2658516805217984e-17
337.2753009386026 2.6107507580623162e-17
337.3374099693924 8.372387979294275e-18
337.3995190001823 -1.637529857399403e-18
337.4616280309722 6.210142490292091e-17
337.52373706176206 3.011689833178199e-17
337.58584609255195 7.713474928488622e-18
337.64795512334183 3.4353049067343655e-17
337.7100641541317 3.421293459774452e-17
337.7721731849216 1.3982121752836995e-17
337.8342822157115 2.0054874837339948e-17
337.89639124650137 2.7454197322528893e-17
337.9585002772912 2.2303461107808172e-17
338.0206093080811 2.7444209943812928e-17
338.08271833887096 4.9445895711827055e-17
338.1448273696608 2.821133889825583e-17
338.2069364004507 1.5425861287291123e-17
338.26904543124056 7.950798505622128e-17
338.33115446203044 4.1136783740670636e-17
338.3932634928203 3.541538058443326e-17
338.4553725236102 5.721517638034157e-17
338.5174815544001 -2.710279610906534e-18
338.57959058519 8.731330598402473e-18
338.64169961597986 7.741974443877401e-17
338.7038086467697 -4.654771954323726e-18
338.76591767755957 2.177966883724367e-17
338.82802670834946 2.016605949219565e-17
338.8901357391393 2.2637949786467465e-17
338.95224476992917 5.002390967154441e-17
339.01435380071905 3.7319537119640526e-17
339.07646283150893 2.6105826749618454e-17
339.1385718622988 2.064734791416473e-17
339.2006808930887 2.1655322084481022e-17
339.2627899238786 5.270210542803185e-17
339.32489895466847 4.371535717290464e-17
339.38700798545835 4.8044982626407247e-17
339.44911701624824 3.6373315290773767e-17
339.51122604703806 1.1874633469716229e-17
339.57333507782795 2.740375254005296e-17
339.63544410861783 2.215366200759727e-17
339.69755313940766 1.944138475551142e-17
