# wavelength flux(cal) flux
3585.6322 6.774955e+02 5.885756e+03
3586.8592 6.235519e+02 5.369777e+03
3588.0862 6.423250e+02 5.483104e+03
3589.3133 5.998226e+02 5.075547e+03
3590.5403 6.452116e+02 5.411918e+03
3591.7673 5.618605e+02 4.671618e+03
3592.9943 5.995651e+02 4.941580e+03
3594.2214 5.394175e+02 4.407034e+03
3595.4484 5.507272e+02 4.460168e+03
3596.6754 5.104533e+02 4.097938e+03
3597.9024 5.852111e+02 4.657131e+03
3599.1294 5.874962e+02 4.634568e+03
3600.3565 6.435273e+02 5.032359e+03
3601.5835 6.027020e+02 4.672076e+03
3602.8105 6.756653e+02 5.192111e+03
3604.0375 6.456451e+02 4.918287e+03
3605.2646 6.369871e+02 4.810177e+03
3606.4916 6.256272e+02 4.683379e+03
3607.7186 5.862214e+02 4.350326e+03
3608.9456 5.524579e+02 4.064236e+03
3610.1727 5.681774e+02 4.143686e+03
3611.3997 6.310140e+02 4.562139e+03
3612.6267 6.837661e+02 4.900805e+03
3613.8537 6.661374e+02 4.733233e+03
3615.0808 6.726962e+02 4.738614e+03
3616.3078 6.044380e+02 4.221109e+03
3617.5348 5.391345e+02 3.732663e+03
3618.7618 6.385503e+02 4.382966e+03
3619.9889 6.880492e+02 4.682184e+03
3621.2159 5.953130e+02 4.016383e+03
3622.4429 6.030824e+02 4.033964e+03
3623.6699 5.969470e+02 3.958784e+03
3624.8970 6.659539e+02 4.378710e+03
3626.1240 6.222817e+02 4.056676e+03
3627.3510 7.194310e+02 4.650066e+03
3628.5780 6.380408e+02 4.088941e+03
3629.8051 6.745281e+02 4.286083e+03
3631.0321 6.728293e+02 4.239059e+03
3632.2591 5.153331e+02 3.219309e+03
3633.4861 6.809473e+02 4.217977e+03
3634.7132 6.542833e+02 4.018638e+03
3635.9402 7.272864e+02 4.429425e+03
3637.1672 6.914652e+02 4.175875e+03
3638.3942 5.256810e+02 3.148048e+03
3639.6213 6.585003e+02 3.910423e+03
3640.8483 6.892891e+02 4.059053e+03
3642.0753 6.679651e+02 3.900674e+03
3643.3023 6.402929e+02 3.707952e+03
3644.5294 6.662074e+02 3.825972e+03
3645.7564 6.839381e+02 3.895231e+03
3646.9834 6.689237e+02 3.778197e+03
3648.2104 6.720432e+02 3.764475e+03
3649.4375 6.693096e+02 3.718271e+03
3650.6645 5.911633e+02 3.257137e+03
3651.8915 5.828185e+02 3.184815e+03
3653.1185 5.980046e+02 3.241051e+03
3654.3456 5.788242e+02 3.111476e+03
3655.5726 5.969652e+02 3.182844e+03
3656.7996 6.561102e+02 3.469748e+03
3658.0266 6.253497e+02 3.280253e+03
3659.2537 6.055668e+02 3.150780e+03
3660.4807 6.101804e+02 3.149158e+03
3661.7077 6.570298e+02 3.363646e+03
3662.9347 6.435043e+02 3.267940e+03
3664.1618 6.542623e+02 3.295953e+03
3665.3888 5.859525e+02 2.928241e+03
3666.6158 5.978879e+02 2.964070e+03
3667.8428 6.788638e+02 3.338756e+03
3669.0698 7.164021e+02 3.495438e+03
3670.2969 6.620275e+02 3.204590e+03
3671.5239 5.650297e+02 2.713494e+03
3672.7509 5.144247e+02 2.451038e+03
3673.9779 5.951795e+02 2.813560e+03
3675.2050 5.829314e+02 2.734105e+03
3676.4320 6.930190e+02 3.225093e+03
3677.6590 6.804897e+02 3.142155e+03
3678.8860 8.446539e+02 3.869934e+03
3680.1131 7.146817e+02 3.249123e+03
3681.3401 6.520823e+02 2.941673e+03
3682.5671 6.563550e+02 2.938187e+03
3683.7941 7.152616e+02 3.177343e+03
3685.0212 6.645596e+02 2.929557e+03
3686.2482 6.181736e+02 2.704316e+03
3687.4752 5.959178e+02 2.587157e+03
3688.7022 6.348336e+02 2.735243e+03
3689.9293 5.625089e+02 2.405334e+03
3691.1563 6.259562e+02 2.656504e+03
3692.3833 6.659188e+02 2.804909e+03
3693.6103 6.254310e+02 2.614680e+03
3694.8374 5.747548e+02 2.384921e+03
3696.0644 5.932321e+02 2.443312e+03
3697.2914 6.540839e+02 2.674001e+03
3698.5184 6.459163e+02 2.621132e+03
3699.7455 6.782314e+02 2.732033e+03
3700.9725 6.602048e+02 2.639934e+03
3702.1995 5.760232e+02 2.286502e+03
3703.4265 5.932709e+02 2.337830e+03
3704.6536 6.608953e+02 2.585425e+03
3705.8806 5.476461e+02 2.126914e+03
3707.1076 5.624826e+02 2.168806e+03
3708.3346 5.218214e+02 1.997590e+03
3709.5617 5.774992e+02 2.194927e+03
3710.7887 6.386002e+02 2.409867e+03
3712.0157 7.075110e+02 2.650966e+03
3713.2427 6.590917e+02 2.452082e+03
3714.4698 6.338030e+02 2.341386e+03
3715.6968 6.113612e+02 2.242631e+03
3716.9238 6.390764e+02 2.327905e+03
3718.1508 7.590574e+02 2.745689e+03
3719.3779 6.544399e+02 2.350836e+03
3720.6049 6.469006e+02 2.307690e+03
3721.8319 6.728477e+02 2.383723e+03
3723.0589 5.747309e+02 2.022154e+03
3724.2860 6.587365e+02 2.301887e+03
3725.5130 6.085886e+02 2.112177e+03
3726.7400 5.341252e+02 1.841178e+03
3727.9670 6.120217e+02 2.095450e+03
3729.1941 6.495061e+02 2.208836e+03
3730.4211 5.812144e+02 1.963353e+03
3731.6481 6.293533e+02 2.111787e+03
3732.8751 6.713797e+02 2.237841e+03
3734.1022 6.409512e+02 2.122284e+03
3735.3292 6.461412e+02 2.125374e+03
3736.5562 6.841381e+02 2.235596e+03
3737.7832 7.299954e+02 2.369862e+03
3739.0103 7.307827e+02 2.356985e+03
3740.2373 6.843572e+02 2.192953e+03
3741.4643 6.585471e+02 2.096636e+03
3742.6913 6.305753e+02 1.994689e+03
3743.9183 6.360552e+02 1.999158e+03
3745.1454 6.572279e+02 2.052554e+03
3746.3724 7.143236e+02 2.216727e+03
3747.5994 6.623710e+02 2.042533e+03
3748.8264 6.806639e+02 2.085756e+03
3750.0535 7.489341e+02 2.280603e+03
3751.2805 7.117332e+02 2.153826e+03
3752.5075 6.323751e+02 1.901813e+03
3753.7345 6.624138e+02 1.979860e+03
3754.9616 6.656965e+02 1.977451e+03
3756.1886 6.640452e+02 1.960486e+03
3757.4156 6.390486e+02 1.875206e+03
3758.6426 7.335536e+02 2.139480e+03
3759.8697 7.655938e+02 2.219466e+03
3761.0967 6.962299e+02 2.006268e+03
3762.3237 5.748539e+02 1.646615e+03
3763.5507 6.827355e+02 1.944007e+03
3764.7778 6.262454e+02 1.772610e+03
3766.0048 6.187695e+02 1.741137e+03
3767.2318 6.743250e+02 1.886346e+03
3768.4588 6.621976e+02 1.841620e+03
3769.6859 7.212739e+02 1.994277e+03
3770.9129 7.633437e+02 2.098411e+03
3772.1399 7.796754e+02 2.130992e+03
3773.3669 7.820151e+02 2.125167e+03
3774.5940 7.021760e+02 1.897346e+03
3775.8210 6.914861e+02 1.857885e+03
3777.0480 7.531737e+02 2.012231e+03
3778.2750 7.974899e+02 2.118691e+03
3779.5021 7.644584e+02 2.019615e+03
3780.7291 6.558166e+02 1.722986e+03
3781.9561 6.341260e+02 1.656807e+03
3783.1831 7.379555e+02 1.917502e+03
3784.4102 7.530170e+02 1.945953e+03
3785.6372 7.023436e+02 1.805143e+03
3786.8642 7.163771e+02 1.831262e+03
3788.0912 7.516960e+02 1.911217e+03
3789.3183 8.740218e+02 2.210353e+03
3790.5453 7.712889e+02 1.940173e+03
3791.7723 7.437828e+02 1.861083e+03
3792.9993 7.706948e+02 1.918275e+03
3794.2264 7.029293e+02 1.740449e+03
3795.4534 7.327805e+02 1.804916e+03
3796.6804 7.703031e+02 1.887516e+03
3797.9074 8.270579e+02 2.016152e+03
3799.1345 7.672924e+02 1.860882e+03
3800.3615 7.593248e+02 1.832181e+03
3801.5885 8.012859e+02 1.923639e+03
3802.8155 8.911902e+02 2.128699e+03
3804.0426 7.556760e+02 1.795971e+03
3805.2696 7.653387e+02 1.809879e+03
3806.4966 7.844777e+02 1.845955e+03
3807.7236 8.648904e+02 2.025156e+03
3808.9507 8.598802e+02 2.003569e+03
3810.1777 8.423191e+02 1.953100e+03
3811.4047 8.907814e+02 2.055476e+03
3812.6317 9.367490e+02 2.151148e+03
3813.8588 8.726481e+02 1.994364e+03
3815.0858 8.653723e+02 1.968332e+03
3816.3128 9.477057e+02 2.145415e+03
3817.5398 8.990415e+02 2.025686e+03
3818.7668 8.238199e+02 1.847530e+03
3819.9939 8.564993e+02 1.911899e+03
3821.2209 8.775532e+02 1.949855e+03
3822.4479 9.035320e+02 1.998369e+03
3823.6749 9.120687e+02 2.008051e+03
3824.9020 9.167825e+02 2.009281e+03
3826.1290 8.694852e+02 1.897038e+03
3827.3560 8.307534e+02 1.804418e+03
3828.5830 8.643276e+02 1.868989e+03
3829.8101 8.993496e+02 1.936120e+03
3831.0371 8.988908e+02 1.926628e+03
3832.2641 8.170095e+02 1.743481e+03
3833.4911 8.720992e+02 1.852965e+03
3834.7182 8.978904e+02 1.899537e+03
3835.9452 8.760428e+02 1.845375e+03
3837.1722 8.488475e+02 1.780475e+03
3838.3992 9.702924e+02 2.026598e+03
3839.6263 1.011896e+03 2.104609e+03
3840.8533 9.060228e+02 1.876536e+03
3842.0803 9.048109e+02 1.866249e+03
3843.3073 9.111519e+02 1.871580e+03
3844.5344 8.813928e+02 1.803037e+03
3845.7614 9.627640e+02 1.961481e+03
3846.9884 1.061255e+03 2.153402e+03
3848.2154 1.125078e+03 2.273739e+03
3849.4425 1.301691e+03 2.620173e+03
3850.6695 1.775262e+03 3.559265e+03
3851.8965 2.389163e+03 4.771235e+03
3853.1235 3.126558e+03 6.219430e+03
3854.3506 3.783437e+03 7.496888e+03
3855.5776 4.157037e+03 8.205412e+03
3856.8046 4.173593e+03 8.206539e+03
3858.0316 3.820136e+03 7.482963e+03
3859.2587 3.184128e+03 6.213576e+03
3860.4857 2.548282e+03 4.954116e+03
3861.7127 2.075050e+03 4.019077e+03
3862.9397 1.619189e+03 3.124537e+03
3864.1668 1.174366e+03 2.257841e+03
3865.3938 1.017510e+03 1.949133e+03
3866.6208 9.908186e+02 1.891129e+03
3867.8478 1.021668e+03 1.942997e+03
3869.0749 9.712645e+02 1.840545e+03
3870.3019 1.006083e+03 1.899768e+03
3871.5289 1.103555e+03 2.076489e+03
3872.7559 1.032846e+03 1.936650e+03
3873.9830 9.971361e+02 1.863207e+03
3875.2100 1.018087e+03 1.895804e+03
3876.4370 1.094440e+03 2.031018e+03
3877.6640 1.071397e+03 1.981510e+03
3878.8911 1.059144e+03 1.952253e+03
3880.1181 1.051655e+03 1.931970e+03
3881.3451 1.076702e+03 1.971420e+03
3882.5721 1.189704e+03 2.171152e+03
3883.7992 1.036227e+03 1.884886e+03
3885.0262 1.104903e+03 2.003288e+03
3886.2532 1.082768e+03 1.956836e+03
3887.4802 1.094055e+03 1.970921e+03
3888.7072 1.018651e+03 1.829266e+03
3889.9343 1.061467e+03 1.900160e+03
3891.1613 1.075380e+03 1.919058e+03
3892.3883 1.050521e+03 1.868892e+03
3893.6153 1.138644e+03 2.019442e+03
3894.8424 1.082094e+03 1.913299e+03
3896.0694 1.065895e+03 1.878958e+03
3897.2964 1.115799e+03 1.961029e+03
3898.5234 1.180602e+03 2.068747e+03
3899.7505 1.247504e+03 2.179524e+03
3900.9775 1.205294e+03 2.099613e+03
3902.2045 1.159348e+03 2.013710e+03
3903.4315 1.156080e+03 2.002249e+03
3904.6586 1.096904e+03 1.894332e+03
3905.8856 1.068033e+03 1.839245e+03
3907.1126 1.038368e+03 1.783135e+03
3908.3396 1.043274e+03 1.786566e+03
3909.5667 1.119204e+03 1.911296e+03
3910.7937 9.731985e+02 1.657403e+03
