# wavelength flux(cal) flux
3586.5418 1.427254e+03 1.240651e+04
3587.7687 1.415325e+03 1.223550e+04
3588.9956 1.712984e+03 1.472641e+04
3590.2225 1.622057e+03 1.386598e+04
3591.4494 1.660117e+03 1.410998e+04
3592.6762 1.686928e+03 1.425448e+04
3593.9031 1.621043e+03 1.361697e+04
3595.1300 1.638209e+03 1.367890e+04
3596.3569 1.717823e+03 1.425680e+04
3597.5838 1.720054e+03 1.418774e+04
3598.8107 1.546318e+03 1.267548e+04
3600.0376 1.606872e+03 1.308905e+04
3601.2644 1.464743e+03 1.185545e+04
3602.4913 1.519976e+03 1.222340e+04
3603.7182 1.627859e+03 1.300587e+04
3604.9451 1.657667e+03 1.315702e+04
3606.1720 1.587058e+03 1.251298e+04
3607.3989 1.499471e+03 1.174315e+04
3608.6258 1.482846e+03 1.153435e+04
3609.8527 1.494637e+03 1.154663e+04
3611.0795 1.485551e+03 1.139731e+04
3612.3064 1.511021e+03 1.151209e+04
3613.5333 1.554641e+03 1.176134e+04
3614.7602 1.565840e+03 1.176226e+04
3615.9871 1.529897e+03 1.141032e+04
3617.2140 1.494490e+03 1.106614e+04
3618.4409 1.551566e+03 1.140557e+04
3619.6677 1.543412e+03 1.126287e+04
3620.8946 1.423204e+03 1.030937e+04
3622.1215 1.478113e+03 1.062791e+04
3623.3484 1.541516e+03 1.100125e+04
3624.5753 1.502595e+03 1.064310e+04
3625.8022 1.527941e+03 1.074099e+04
3627.0291 1.621729e+03 1.131377e+04
3628.2559 1.564321e+03 1.082995e+04
3629.4828 1.630103e+03 1.119871e+04
3630.7097 1.651479e+03 1.125796e+04
3631.9366 1.485203e+03 1.004588e+04
3633.1635 1.611012e+03 1.081181e+04
3634.3904 1.497282e+03 9.969742e+03
3635.6173 1.572053e+03 1.038511e+04
3636.8442 1.765047e+03 1.156771e+04
3638.0710 1.418519e+03 9.222689e+03
3639.2979 1.503111e+03 9.694590e+03
3640.5248 1.544788e+03 9.883439e+03
3641.7517 1.576350e+03 1.000411e+04
3642.9786 1.538963e+03 9.687828e+03
3644.2055 1.563074e+03 9.759703e+03
3645.4324 1.630177e+03 1.009572e+04
3646.6592 1.658000e+03 1.018404e+04
3647.8861 1.758698e+03 1.071389e+04
3649.1130 1.728102e+03 1.044080e+04
3650.3399 1.538251e+03 9.216986e+03
3651.5668 1.551577e+03 9.219791e+03
3652.7937 1.587885e+03 9.357124e+03
3654.0206 1.544095e+03 9.023237e+03
3655.2474 1.620597e+03 9.391148e+03
3656.4743 1.626825e+03 9.348248e+03
3657.7012 1.567880e+03 8.933859e+03
3658.9281 1.611751e+03 9.106514e+03
3660.1550 1.621736e+03 9.085611e+03
3661.3819 1.611466e+03 8.951732e+03
3662.6088 1.584291e+03 8.726199e+03
3663.8357 1.538482e+03 8.401943e+03
3665.0625 1.615374e+03 8.746832e+03
3666.2894 1.543531e+03 8.286613e+03
3667.5163 1.509659e+03 8.035602e+03
3668.7432 1.617021e+03 8.533505e+03
3669.9701 1.591053e+03 8.324596e+03
3671.1970 1.471490e+03 7.633041e+03
3672.4239 1.534589e+03 7.892041e+03
3673.6507 1.638094e+03 8.351967e+03
3674.8776 1.468420e+03 7.422479e+03
3676.1045 1.651862e+03 8.277848e+03
3677.3314 1.596050e+03 7.929242e+03
3678.5583 1.605099e+03 7.905438e+03
3679.7852 1.491136e+03 7.280768e+03
3681.0121 1.511500e+03 7.316475e+03
3682.2389 1.569252e+03 7.530397e+03
3683.4658 1.516587e+03 7.214766e+03
3684.6927 1.578289e+03 7.443373e+03
3685.9196 1.495914e+03 6.993858e+03
3687.1465 1.614145e+03 7.481337e+03
3688.3734 1.553966e+03 7.140094e+03
3689.6003 1.627839e+03 7.414801e+03
3690.8272 1.632450e+03 7.371456e+03
3692.0540 1.512755e+03 6.771860e+03
3693.2809 1.461828e+03 6.487270e+03
3694.5078 1.507349e+03 6.631426e+03
3695.7347 1.539767e+03 6.715469e+03
3696.9616 1.609208e+03 6.957664e+03
3698.1885 1.539043e+03 6.596804e+03
3699.4154 1.500046e+03 6.374131e+03
3700.6422 1.578146e+03 6.648127e+03
3701.8691 1.627709e+03 6.797775e+03
3703.0960 1.566610e+03 6.486226e+03
3704.3229 1.560513e+03 6.405341e+03
3705.5498 1.604265e+03 6.528271e+03
3706.7767 1.567072e+03 6.322100e+03
3708.0036 1.609171e+03 6.436191e+03
3709.2304 1.606127e+03 6.368906e+03
3710.4573 1.587884e+03 6.242609e+03
3711.6842 1.559378e+03 6.078066e+03
3712.9111 1.589106e+03 6.140990e+03
3714.1380 1.599613e+03 6.128818e+03
3715.3649 1.674698e+03 6.361795e+03
3716.5918 1.714371e+03 6.457061e+03
3717.8187 1.516452e+03 5.663058e+03
3719.0455 1.744557e+03 6.459598e+03
3720.2724 1.546353e+03 5.677181e+03
3721.4993 1.571852e+03 5.721977e+03
3722.7262 1.522725e+03 5.496322e+03
3723.9531 1.661563e+03 5.946902e+03
3725.1800 1.589470e+03 5.640999e+03
3726.4069 1.686190e+03 5.933993e+03
3727.6337 1.574186e+03 5.493393e+03
3728.8606 1.661522e+03 5.749659e+03
3730.0875 1.657670e+03 5.688437e+03
3731.3144 1.532186e+03 5.214021e+03
3732.5413 1.617425e+03 5.458333e+03
3733.7682 1.671140e+03 5.592828e+03
3734.9951 1.653129e+03 5.486763e+03
3736.2219 1.566339e+03 5.155783e+03
3737.4488 1.760683e+03 5.747752e+03
3738.6757 1.789447e+03 5.793655e+03
3739.9026 1.695459e+03 5.444359e+03
3741.1295 1.726561e+03 5.498906e+03
3742.3564 1.774115e+03 5.604288e+03
3743.5833 1.710961e+03 5.360834e+03
3744.8102 1.788262e+03 5.557594e+03
3746.0370 1.916373e+03 5.907567e+03
3747.2639 1.865683e+03 5.704917e+03
3748.4908 1.733486e+03 5.258054e+03
3749.7177 1.869027e+03 5.623717e+03
3750.9446 1.985226e+03 5.925589e+03
3752.1715 1.948650e+03 5.770047e+03
3753.3984 1.861372e+03 5.467811e+03
3754.6252 1.853993e+03 5.402987e+03
3755.8521 1.977369e+03 5.717024e+03
3757.0790 1.936809e+03 5.555674e+03
3758.3059 1.998078e+03 5.686448e+03
3759.5328 2.001952e+03 5.652912e+03
3760.7597 1.923506e+03 5.389069e+03
3761.9866 1.947787e+03 5.414703e+03
3763.2134 1.999253e+03 5.514748e+03
3764.4403 1.896368e+03 5.190595e+03
3765.6672 1.992499e+03 5.411792e+03
3766.8941 1.978130e+03 5.331611e+03
3768.1210 2.142469e+03 5.730477e+03
3769.3479 1.878559e+03 4.986390e+03
3770.5748 1.944209e+03 5.121552e+03
3771.8017 2.064150e+03 5.396470e+03
3773.0285 2.052316e+03 5.325191e+03
3774.2554 1.935994e+03 4.985747e+03
3775.4823 2.092585e+03 5.348811e+03
3776.7092 2.026831e+03 5.142243e+03
3777.9361 2.168142e+03 5.460051e+03
3779.1630 2.065309e+03 5.162748e+03
3780.3899 1.855557e+03 4.604373e+03
3781.6167 1.900347e+03 4.681042e+03
3782.8436 2.013595e+03 4.923893e+03
3784.0705 2.061881e+03 5.005419e+03
3785.2974 1.990276e+03 4.796716e+03
3786.5243 1.953801e+03 4.674965e+03
3787.7512 2.003545e+03 4.759688e+03
3788.9781 2.057081e+03 4.852055e+03
3790.2049 2.092493e+03 4.900576e+03
3791.4318 2.166379e+03 5.037794e+03
3792.6587 2.226190e+03 5.140497e+03
3793.8856 2.128385e+03 4.880271e+03
3795.1125 2.039817e+03 4.644619e+03
3796.3394 2.117369e+03 4.787788e+03
3797.5663 2.128209e+03 4.779104e+03
3798.7932 2.176979e+03 4.855058e+03
3800.0200 2.035674e+03 4.508904e+03
3801.2469 2.068312e+03 4.550045e+03
3802.4738 2.068368e+03 4.519383e+03
3803.7007 2.265667e+03 4.917152e+03
3804.9276 2.101499e+03 4.530308e+03
3806.1545 2.205884e+03 4.723640e+03
3807.3814 2.312662e+03 4.919452e+03
3808.6082 2.199728e+03 4.648351e+03
3809.8351 2.266307e+03 4.757610e+03
3811.0620 2.239427e+03 4.670489e+03
3812.2889 2.267079e+03 4.697450e+03
3813.5158 2.221406e+03 4.573080e+03
