# wavelength flux(cal) flux
3585.2196 -8.131417e+02 -7.711438e+03
3586.4465 -1.685840e+02 -1.589188e+03
3587.6735 -2.881209e+03 -2.699522e+04
3588.9004 -9.201416e+02 -8.568094e+03
3590.1274 1.448182e+02 1.340094e+03
3591.3543 4.599797e+02 4.229594e+03
3592.5812 1.202924e+03 1.099038e+04
3593.8082 8.121006e+02 7.371656e+03
3595.0351 7.115424e+02 6.416594e+03
3596.2621 3.636721e+02 3.257844e+03
3597.4890 9.600180e+01 8.542500e+02
3598.7160 1.109172e+03 9.803000e+03
3599.9429 8.643239e+02 7.586844e+03
3601.1699 -1.869103e+02 -1.629344e+03
3602.3968 -1.131836e+02 -9.797812e+02
3603.6238 -1.186198e+02 -1.019625e+03
3604.8507 3.609817e+02 3.080906e+03
3606.0777 5.721302e+02 4.848094e+03
3607.3046 6.830496e+01 5.746250e+02
3608.5316 2.915359e+02 2.434750e+03
3609.7585 4.989225e+02 4.136188e+03
3610.9854 5.102954e+02 4.199219e+03
3612.2124 7.550393e+02 6.166969e+03
3613.4393 7.478600e+02 6.062531e+03
3614.6663 8.259526e+02 6.645031e+03
3615.8932 9.403152e+02 7.507594e+03
3617.1202 6.586942e+02 5.218844e+03
3618.3471 6.123814e+02 4.814531e+03
3619.5741 7.755582e+02 6.050156e+03
3620.8010 1.035900e+03 8.018062e+03
3622.0280 8.188270e+02 6.288156e+03
3623.2549 8.720406e+02 6.643969e+03
3624.4819 9.220670e+02 6.969375e+03
3625.7088 9.816192e+02 7.360312e+03
3626.9358 1.115684e+03 8.298469e+03
3628.1627 1.068034e+03 7.880031e+03
3629.3896 3.720202e+02 2.722562e+03
3630.6166 4.626686e+02 3.358406e+03
3631.8435 3.344097e+02 2.407562e+03
3633.0705 9.453210e+02 6.749906e+03
3634.2974 4.904621e+02 3.473188e+03
3635.5244 6.828489e+02 4.795531e+03
3636.7513 2.958775e+02 2.060625e+03
3637.9783 7.337779e+02 5.067719e+03
3639.2052 5.907229e+02 4.045562e+03
3640.4322 4.350656e+02 2.954500e+03
3641.6591 2.218939e+02 1.494156e+03
3642.8861 5.667499e+02 3.784000e+03
3644.1130 5.364630e+02 3.551375e+03
3645.3400 9.165836e+02 6.016094e+03
3646.5669 8.942744e+02 5.819531e+03
3647.7938 6.215364e+02 4.010031e+03
3649.0208 5.132240e+02 3.282781e+03
3650.2477 7.404918e+02 4.695688e+03
3651.4747 9.484661e+02 5.962594e+03
3652.7016 1.068309e+03 6.657875e+03
3653.9286 7.889296e+02 4.874094e+03
3655.1555 4.562328e+02 2.794156e+03
3656.3825 2.009996e+02 1.220281e+03
3657.6094 2.274553e+02 1.368844e+03
3658.8364 4.449417e+02 2.654281e+03
3660.0633 4.576885e+02 2.706406e+03
3661.2903 5.068981e+02 2.971094e+03
3662.5172 5.939355e+02 3.450656e+03
3663.7441 8.054627e+02 4.638406e+03
3664.9711 9.833954e+02 5.613156e+03
3666.1980 9.690067e+02 5.482219e+03
3667.4250 8.592164e+02 4.818125e+03
3668.6519 6.408464e+02 3.561812e+03
3669.8789 1.186988e+03 6.538844e+03
3671.1058 7.527139e+02 4.109781e+03
3672.3328 8.447427e+02 4.571344e+03
3673.5597 2.656563e+02 1.424844e+03
3674.7867 6.636736e+02 3.527984e+03
3676.0136 1.737774e+02 9.155625e+02
3677.2406 5.184365e+02 2.707141e+03
3678.4675 9.732922e+02 5.037062e+03
3679.6945 8.239493e+02 4.226219e+03
3680.9214 7.952078e+02 4.042484e+03
3682.1483 4.461149e+02 2.247656e+03
3683.3753 8.075847e+02 4.032609e+03
3684.6022 7.040672e+02 3.484391e+03
3685.8292 7.815830e+02 3.833562e+03
3687.0561 9.517830e+02 4.626797e+03
